"","score","text"
"1",0,"RT @PinoHormail: Golllllllllllllllllazooooooooo de messiiiiiiiiiiiiii"
"2",-1,"Calientes <ed><U+00A0><U+00BD><ed><U+00B2><U+00A6> y con ganas de folleteo
 te vienes ?

         <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
<ed><U+00A0><U+00BD><ed><U+00B2><U+009E> https://t.co/TxPnNwyZRP
@mundowebcam <ed><U+00A0><U+00BD><ed><U+00B2><U+009E>

@pornoaz… https://t.co/rGCnAiz4jf"
"3",1,"RT @MoisesMoranGC: Espectacular el trabajo actoral en el #sueño de Andrés Lima en el @TeatroCuyas."
"4",0,"@cesartgil @CecyMezaBaides @ignacio_conejo @HelenaVilaclara @MontAlSol @saraescuderogar @sbinefa @MenaraNetwork… https://t.co/SzMrmXMbPc"
"5",-1,"@bigbangnw Cual es la noticia? Todo un gran titulo y nadaaa... todavia hay dudas si esta chica es psicopata?"
"6",0,"@MiguelMR88YT enviame eso ya xdxdxdxd"
"7",0,"RT @MueveNegrin: Hoy han amanecido en #Urgencias 7 pacientes sin cama en el Servicio,en pasillo con la #UnidadDeTránsito con 23 pacientes.…"
"8",-2,"Un cafecito ahora en la biblioteca mientras fuera llueve no estaría nada mal<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2615><U+FE0F>"
"9",2,"@parcan Nuestros políticos son como niños"
"10",-2,"@Cristiano para intentar ganar la liga vais a tener que luchar lo que no esta escrito.....pero se sabe como es el M… https://t.co/SGDb8qiYgL"
"11",-2,"RT @Agoney_ot2017: En un ratito estaré en directo en @LasMananas_rne a las 10:30 exactamente!! <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"12",0,"Barça 2 – Alaves 1 – Remontada Épica https://t.co/PkM7HMVWnx"
"13",-3,"Izquierda de Las Palmeras recibirá los craks del surf europeos en el Las Américas Pro… https://t.co/wf4Q2q4cLk"
"14",0,"RT @lpacarnaval: Después de una pequeña pausa por la lluvia después de la actuación de Las hadas animadas, retomamos el Festival de #Disfra…"
"15",-1,"@_quenervios_ Si, justo he buscado Raoul y he visto esa jollita. Uuuuhhhh nooo puaj que ascooo porque le asocian co… https://t.co/YSPTiKICYG"
"16",1,"RT @JaviBenedict: Han pasado 17 años (la hostia tú) y la perfección de El Señor de los Anillos me sigue asombrando."
"17",1,"RT @GranCanaria9000: Despegando hacia una nueva semana cargada de buena energía positiva, que nada, ni nadie te cambie.

BUENOS DÍAS!!

SON…"
"18",-4,"Los riesgos de sufrir del corazón disminuyen si tienes un perro en casa https://t.co/JEcfJpIeob vía @GrandesMedios"
"19",4,"RT @TfeNacional: ¡Honor y Gloria a los que están defendiendo la Santa Cruz en Callosa de Segura! Una cruz dedicada a los asesinados por su…"
"20",-2,"La Cospe cree en serio que seguirá al frente del ministerio? O que el PP no estará ya TODO en la cárcel? https://t.co/7wfrc6WYUD"
"21",0,"@aldanag56566642 Todo mal con vos eh"
"22",1,"RT @leomaidana_5: Eterno bajon"
"23",-1,"RT @Agoney_ot2017: ¡Ya está disponible #MAGIA junto a @Miriam_ot2017 en @iTunes y @Spotify! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><U+FE0F> Que ilusiooooooooon <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> https://t.co/iQ…"
"24",0,"RT @ElHierroTurismo: @mfvela75 @ClaraLago1 Un placer tenerte en nuestra isla <U+2764><U+FE0F>@ClaraLago1! Disfruta de #ElHierro @canarias_es"
"25",0,"@viajarlocura @Ryanair_ES @Tenerifelicidad @CTravelBloggers @teneriferural @Tenerife_Ocio ¡Feliz viaje de vuelta! <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>… https://t.co/f9yudrYNqZ"
