"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @PinoHormail: Golllllllllllllllllazooooooooo de messiiiiiiiiiiiiii",FALSE,0,NA,"2018-01-29 09:19:41",FALSE,NA,"957906083087044608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarcaBv",1,TRUE,FALSE,NA,NA
"Calientes <ed><U+00A0><U+00BD><ed><U+00B2><U+00A6> y con ganas de folleteo
 te vienes ?

         <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
<ed><U+00A0><U+00BD><ed><U+00B2><U+009E> https://t.co/TxPnNwyZRP
@mundowebcam <ed><U+00A0><U+00BD><ed><U+00B2><U+009E>

@pornoaz… https://t.co/rGCnAiz4jf",FALSE,1,"webcamfamosas","2018-01-29 09:19:40",TRUE,"957857572152905728","957906076464271360","140801501","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","webcamfamosas",0,FALSE,FALSE,NA,NA
"RT @MoisesMoranGC: Espectacular el trabajo actoral en el #sueño de Andrés Lima en el @TeatroCuyas.",FALSE,0,NA,"2018-01-29 09:19:38",FALSE,NA,"957906070722301952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TeatroCuyas",2,TRUE,FALSE,NA,NA
"@cesartgil @CecyMezaBaides @ignacio_conejo @HelenaVilaclara @MontAlSol @saraescuderogar @sbinefa @MenaraNetwork… https://t.co/SzMrmXMbPc",FALSE,0,"cesartgil","2018-01-29 09:19:36",TRUE,"957886991491850240","957906059531837440","807825079","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JulioTrujillo_",0,FALSE,FALSE,NA,NA
"@bigbangnw Cual es la noticia? Todo un gran titulo y nadaaa... todavia hay dudas si esta chica es psicopata?",FALSE,0,"bigbangnw","2018-01-29 09:19:35",FALSE,"957901276464975872","957906054767169536","2942385669","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuliaPereyra18",0,FALSE,FALSE,NA,NA
"@MiguelMR88YT enviame eso ya xdxdxdxd",FALSE,0,"MiguelMR88YT","2018-01-29 09:19:33",FALSE,"957759006906441728","957906048635015168","1556567557","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","adriannnngn",0,FALSE,FALSE,NA,NA
"RT @MueveNegrin: Hoy han amanecido en #Urgencias 7 pacientes sin cama en el Servicio,en pasillo con la #UnidadDeTránsito con 23 pacientes.…",FALSE,0,NA,"2018-01-29 09:19:32",FALSE,NA,"957906042985287680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kmcanica",6,TRUE,FALSE,NA,NA
"Un cafecito ahora en la biblioteca mientras fuera llueve no estaría nada mal<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2615><U+FE0F>",FALSE,0,NA,"2018-01-29 09:19:32",FALSE,NA,"957906041739595776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annebrume",0,FALSE,FALSE,NA,NA
"@parcan Nuestros políticos son como niños",FALSE,0,"parcan","2018-01-29 09:19:30",FALSE,"957881310822977536","957906033397129216","14672623","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RusoBlanco3",0,FALSE,FALSE,NA,NA
"@Cristiano para intentar ganar la liga vais a tener que luchar lo que no esta escrito.....pero se sabe como es el M… https://t.co/SGDb8qiYgL",FALSE,0,"Cristiano","2018-01-29 09:19:29",TRUE,"957322653689315328","957906032046542848","155659213","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DREAM_TEAM46",0,FALSE,FALSE,NA,NA
