"","score","text"
"1",0,"RT @OyeTato: ¡Feliz inicio de semana! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8>

#Tenerife #IslasCanarias #Spain https://t.co/1eTAJyQYiX"
"2",-2,"RT @VisitTenerifeES: Taganana, un pequeño rincón escondido en #Tenerife #VisitTenerife https://t.co/UJbf3nBnz0"
"3",0,"Singular geología en #Acantilados #LosGigantes #SantiagodelTeide 12:00h
Más webcams en directo:… https://t.co/FJSwtybfa5"
"4",1,"RT @Carlosenderos: Bonito y acogedor Norte de Tenerife!! #Tenerifelicidad #Tenerife #Canarias 
@VisitTenerifeES @ViveelNorte @TeneriFeliz @…"
"5",1,"RT @enrique_glez: Arranca el gran #DebateHoteleroTenerife en @HardRockHotels #Tenerife organizado por @GrupoViaSpain https://t.co/qmK6VXIlDF"
"6",-2,"RT @CNECHEYDE: Hay cosas que en el verano no te puedes perder. Uno de estos eventos es el ""VIII Torneo Internacional Isla de Tenerife"", en…"
"7",-1,"RT @Auditoriotfe: Este domingo 10 de junio ha tenido lugar el Concierto de clausura del ciclo Primavera Musical 2018, dirigido por Jesús Ag…"
"8",0,"RT @OyeTato: Te acompañamos en cada paso de la transformación digital de tu empresa. #Tenerife #IslasCanarias https://t.co/m2uvw7sEm8"
"9",0,"El consejero @Manuel_Martnez y el gerente @jdavaram expusieron en la Real Sociedad Económica de Amigos del País la… https://t.co/2SnUL4ATlf"
"10",-1,"RT @SiamDrago: ¿Todavía no has visitado @SiamDrago?
No esperes más y visita nuestras instalaciones. ¡Te encantará! #FelizMartes #BuenMartes…"
"11",-1,"¿Todavía no has visitado @SiamDrago?
No esperes más y visita nuestras instalaciones. ¡Te encantará! #FelizMartes… https://t.co/7VqcVWWdkh"
"12",1,"RT @malcazargarcia: #Aborigen nuevo espacio gastronómico en #Tenerife con una innovadora cocina de archipiélago. 
El ceviche con helado de…"
"13",-1,"RT @vickyPL13: Buenos días y feliz martes<ed><U+00A0><U+00BC><ed><U+00BC><U+0084>
#Candelaria #Tenerife #latituddevida #venatenerife https://t.co/8zdigcV8rd"
"14",-2,"<ed><U+00A0><U+00BC><ed><U+00BC><U+008A>¡Tras las vacaciones, desde hoy martes 12 estamos de nuevo a tope! Abrimos de 13:30 a 16:30 y de 20:00 a 23:30 h… https://t.co/BDX7f0QyJE"
"15",-2,"Hay cosas que en el verano no te puedes perder. Uno de estos eventos es el ""VIII Torneo Internacional Isla de Tener… https://t.co/UGARejtPWv"
"16",3,"RT @KoseiLab: Compartimos uno de los trabajos realizados ayer con nuestro  tratamiento de #alisado progresivo T-LISS. 
¿Impresionante verda…"
"17",-1,"RT @KoseiLab: Antes y Despues de TLISS nuestro  tratamiento de #alisado progresivo T-LISS. 
  #tenerife  #keratina #alisadomasculino #hairs…"
"18",-1,"Ofertas de Liquidación Bmx Online y en Tienda Fisica Tenerife
https://t.co/DFNPUi0cvS
#Tenerife #BMX #IslasCanarias… https://t.co/0jPUwu59KA"
"19",1,"Los #calderones tropicales que viven al sur de #Tenerife, “son los #cetáceos que pueden nadar más rápido en profund… https://t.co/y5Ak7OePa7"
"20",-2,"RT @PrensaTenerife: #Tenerife posee numerosas infraestructuras y servicios para la celebración de congresos y convenciones. Para darlos a c…"
"21",-1,"RT @TenerifeNeo: Agujeros en la tierra... 
#Tenerife https://t.co/sFWSbTly1o"
"22",-5,"RT @LlaveSur: En #LlaveSur tenemos la llave que te avisa con un SMS cuando se realiza una copia o un intento de copia, con cilindros anti b…"
"23",0,"Así tenemos los cielos hoy a las 11:00h por #Alcalá #GuíadeIsora <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+008A><U+200D><U+2642><U+FE0F>
Más webcams en directo:… https://t.co/Y98WGmjxXc"
"24",-1,"RT @DXTenerife: ¿Aún no has programado tu verano y el de tu familia? Recuerda que el Complejo Deportivo de #Tenerife tiene abierta la inscr…"
"25",-1,"Las Gaviotas #Tenerife #CanaryIslands #photofraphy #photooftheday https://t.co/LKn9PrRJlX"
"26",-4,"En #LlaveSur tenemos la llave que te avisa con un SMS cuando se realiza una copia o un intento de copia, con cilind… https://t.co/WGTOErHPrD"
"27",-3,"RT @marioexposure: Y ahí está la #VíaLáctea. Objeto de deseo para los fotógrafos nocturnos, es en esta época del año, cuando más nos obsesi…"
"28",-4,"¡Muy buenos días y #FelizMartes para todos! Así está la mañana de hoy en Playa Fañabé (#Adeje) a las 10:45 horas, c… https://t.co/Jy1PUjgi7K"
"29",0,"Esta tarde DifrAcción Ensemble en el Círculo de Bellas Artes de #Tenerife https://t.co/nAPwdNtjsB https://t.co/6WTdA5SYYf"
"30",0,"RT @ven_a_canarias: A por el martes!! Desde el Puerto de la Cruz.. #tenerife #venacanarias #nature #paradise #life #holidays #puertodelacru…"
"31",0,"¡¡¡ Gánate un #Smart !!!

En Iteuve Canarias, S.L. quieren premiar la fidelidad de sus clientes <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
Pincha en el enla… https://t.co/Czxn8PrNpJ"
"32",-2,"Vuelo sobre el hoyo 13 de @Abama_Golf, un par 4 en subida con el #Teide al fondo https://t.co/gNGWSoZ8cL #drones… https://t.co/Mo2blGf7f0"
"33",0,"A por el martes!! Desde el Puerto de la Cruz.. #tenerife #venacanarias #nature #paradise #life #holidays… https://t.co/usWXkBXQD5"
"34",0,"Consigue 2 pares de chanclas por solo 4,99€, solo en @MerkalCalzados, te esperamos en nuestra tienda de @MCElTrompo… https://t.co/AwVOyRSs22"
"35",-1,"Agujeros en la tierra... 
#Tenerife https://t.co/sFWSbTly1o"
"36",-2,"Hoy no toca parar detrás del ordenador, muchas entrevistas por delante y siguen saliendo patrocinadores interesados… https://t.co/Uld5GiUI1q"
"37",2,"Una Luna de Miel azul, os proponemos este estupendo plan: https://t.co/QOrEPLoDQy #Tenerife https://t.co/K54PrWquQF"
"38",1,"¡Buenos días! Buen martes <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> 10:00h Playa de #LosCristianos #Arona
Más webcams en directo: https://t.co/MnT9wHr7uU… https://t.co/RmQst6XuQ1"
