"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @OyeTato: ¡Feliz inicio de semana! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8>

#Tenerife #IslasCanarias #Spain https://t.co/1eTAJyQYiX",FALSE,0,NA,"2018-06-12 11:05:17",FALSE,NA,"1006492630023368704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OyeTato",3,TRUE,FALSE,NA,NA
"RT @VisitTenerifeES: Taganana, un pequeño rincón escondido en #Tenerife #VisitTenerife https://t.co/UJbf3nBnz0",FALSE,0,NA,"2018-06-12 11:04:44",FALSE,NA,"1006492494052380672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quegranviaje",2,TRUE,FALSE,NA,NA
"Singular geología en #Acantilados #LosGigantes #SantiagodelTeide 12:00h
Más webcams en directo:… https://t.co/FJSwtybfa5",FALSE,0,NA,"2018-06-12 11:04:40",TRUE,NA,"1006492474074980352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanariasLifeW",0,FALSE,FALSE,NA,NA
"RT @Carlosenderos: Bonito y acogedor Norte de Tenerife!! #Tenerifelicidad #Tenerife #Canarias 
@VisitTenerifeES @ViveelNorte @TeneriFeliz @…",FALSE,0,NA,"2018-06-12 10:56:50",FALSE,NA,"1006490505767804928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TeneriFeliz",20,TRUE,FALSE,NA,NA
"RT @enrique_glez: Arranca el gran #DebateHoteleroTenerife en @HardRockHotels #Tenerife organizado por @GrupoViaSpain https://t.co/qmK6VXIlDF",FALSE,0,NA,"2018-06-12 10:54:10",FALSE,NA,"1006489832691060736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GrupoViaSpain",1,TRUE,FALSE,NA,NA
"RT @CNECHEYDE: Hay cosas que en el verano no te puedes perder. Uno de estos eventos es el ""VIII Torneo Internacional Isla de Tenerife"", en…",FALSE,0,NA,"2018-06-12 10:50:25",FALSE,NA,"1006488887823405056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AutomotorCan",2,TRUE,FALSE,NA,NA
"RT @Auditoriotfe: Este domingo 10 de junio ha tenido lugar el Concierto de clausura del ciclo Primavera Musical 2018, dirigido por Jesús Ag…",FALSE,0,NA,"2018-06-12 10:48:56",FALSE,NA,"1006488516031926272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lomolapalma",3,TRUE,FALSE,NA,NA
"RT @OyeTato: Te acompañamos en cada paso de la transformación digital de tu empresa. #Tenerife #IslasCanarias https://t.co/m2uvw7sEm8",FALSE,0,NA,"2018-06-12 10:48:31",FALSE,NA,"1006488412113788928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lomolapalma",4,TRUE,FALSE,NA,NA
"El consejero @Manuel_Martnez y el gerente @jdavaram expusieron en la Real Sociedad Económica de Amigos del País la… https://t.co/2SnUL4ATlf",FALSE,0,NA,"2018-06-12 10:47:55",TRUE,NA,"1006488261886382080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CIATF",0,FALSE,FALSE,NA,NA
"RT @SiamDrago: ¿Todavía no has visitado @SiamDrago?
No esperes más y visita nuestras instalaciones. ¡Te encantará! #FelizMartes #BuenMartes…",FALSE,0,NA,"2018-06-12 10:43:19",FALSE,NA,"1006487100508835840",NA,"<a href=""http://allsetic.com/"" rel=""nofollow"">Travel Familia</a>","allsetic",1,TRUE,FALSE,NA,NA
