"","score","text"
"1",-1,"RT @Deporpress: #CDTenerife El gol de @JuanVillar8 y @Longo da la vuelta al mundo https://t.co/0DEGa3Kh1j vía @SC_ESPN  @LaLiga @sergiostd…"
"2",1,"#CDTenerife 16 partidos después, el catalán se estrena como goleador en categoría profesional https://t.co/PK4tbcLGDD"
"3",-1,"#CDTenerife El gol de @JuanVillar8 y @Longo da la vuelta al mundo https://t.co/0DEGa3Kh1j vía @SC_ESPN  @LaLiga… https://t.co/4NjxWQ2KAi"
"4",-1,"RT @CDTOficial: <U+26BD><U+FE0F>¡¡FINAL en el #HRL!!<ed><U+00A0><U+00BC><ed><U+00BF><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

#CDTenerife 3<U+FE0F><U+20E3>-1<U+FE0F><U+20E3> @CDeportivoLugo 

¡Y conseguimos los<U+2795>3<U+FE0F><U+20E3>! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>¡Gracias afición! <ed><U+00A0><U+00BD><ed><U+00B4><U+00B5>

#TenerifeLu…"
"5",1,"RT @Deporpress: #CDTenerife El Tenerife plantea nuevos retos a sus aficionados https://t.co/anepZgpDia https://t.co/rh2FESr1Rl"
"6",0,"#CDTenerife <U+26BD><ed><U+00A0><U+00BD><ed><U+00B3><U+00B9> Volvamos a ver los goles de un gran triunfo, con el que el tinerfeñismo recobra la ilusión <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/XP3LtbRsjJ"
"7",1,"#CDTenerife El Tenerife plantea nuevos retos a sus aficionados https://t.co/anepZgpDia https://t.co/rh2FESr1Rl"
"8",-3,"RT @ELDORSAL: #CDTenerife <ed><U+00A0><U+00BC><ed><U+00BE><U+0099> @AlbertoLaoliva ha sido indiscutible desde que llegó @17Etxeberria y, ahora, no quiere que nadie le quite el pu…"
"9",0,"#CDTenerife Alberto, Longo, Villar...¿Quién fue el futbolista blanquiazul más destacado? Aquí puedes elegirlo https://t.co/if3f2dc9Gy"
"10",-3,"RT @ELDORSAL: #CDTenerife Exteberría: ""El equipo crece en intensidad y declaración de intenciones, deque pasa de medio campo transmite peli…"
"11",-3,"#CDTenerife Exteberría: ""El equipo crece en intensidad y declaración de intenciones, deque pasa de medio campo tran… https://t.co/ny7033pc4d"
"12",3,"RT @ELDORSAL: #CDTenerife <ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+26BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Constancia, compromiso, ilusión, calidad... @alexmula7 ha visto premiado su trabajo con su primer tanto en el…"
"13",-2,"RT @CDTOficial: XI del #CDTenerife y reservas #blanquiazules. #TenerifeLugo #DejarnoselAlma https://t.co/gzMdzbt653"
"14",-3,"#CDTenerife <ed><U+00A0><U+00BC><ed><U+00BE><U+0099> @AlbertoLaoliva ha sido indiscutible desde que llegó @17Etxeberria y, ahora, no quiere que nadie le q… https://t.co/5B6eWQxkKL"
"15",-2,"RT @CDTOficial: Técnicos del área de fútbol base del #CDTenerife dirigieron una sesión de entrenamiento con los equipos del Atlético Perdom…"
"16",-2,"Técnicos del área de fútbol base del #CDTenerife dirigieron una sesión de entrenamiento con los equipos del Atlétic… https://t.co/wxLt6dSSK3"
"17",-2,"#CDTenerife <U+270D><U+FE0F> Las notas del #TenerifeLugo https://t.co/BwYCacBhwl https://t.co/3ChAiDQSWY"
"18",2,"#CDTenerife <ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+26BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Constancia, compromiso, ilusión, calidad... @alexmula7 ha visto premiado su trabajo con su primer t… https://t.co/n9EAeBlibq"
"19",-1,"RT @ELDORSAL: #CDTenerife <U+26BD><ed><U+00A0><U+00BD><ed><U+00B3><U+00B9> Los tantos de Longo, Villar y Mula, a un clic https://t.co/XP3LtbRsjJ #TenerifeLugo"
"20",-1,"#CDTenerife <U+26BD><ed><U+00A0><U+00BD><ed><U+00B3><U+00B9> Los tantos de Longo, Villar y Mula, a un clic https://t.co/XP3LtbRsjJ #TenerifeLugo"
"21",0,"RT @ELDORSAL: #CDTenerife <U+26BD><ed><U+00A0><U+00BD><ed><U+00B3><U+00B9><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> Disfruta de los goles del conjunto blanquiazul, uno de ellos al más puro estilo Oliver y Benji, que acercan…"
"22",2,"RT @CDTOficial: Hoy somos en el HRL 9.310 blanquiazules apoyando al #CDTenerife. Muchas gracias a TOD@S por su eterno compromiso.
#Dejarnos…"
