"","score","text"
"1",-1,"Nuestro equipo femenino <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>
#tupuedesconseguirloquequieras #mujer y #motor #rally #inclusion #discapacidad… https://t.co/dqKRYD57T1"
"2",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
"3",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnk3lSA"
"4",-2,"Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnk3lSA"
"5",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnk3lSA"
"6",1,"¿#SabíasQue la #mujer tiene de promedio aproximadamente 500 períodos durante su vida?
#Curiosidades"
"7",-2,"Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
"8",-2,"ENTREVISTA - Hablamos con Helena Cosano II, escritora, diplomática y traductora literaria, de la mano de Alexa Mend… https://t.co/GLOBWvcRuR"
"9",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
"10",0,"Portada de la (difunta) Revista #Mujer de @latercera de 2007 (aprox.) Con su especial aniversario... Entre ellas:… https://t.co/e6LOOYE519"
"11",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B6> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
"12",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B6> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnk3lSA"
"13",-2,"RT @FeriaLibrolpa: Con un incremento del 50% en ventas en el sector #juvenil la #FeriadelLibroLPGC18, una feria que en su 30ª edición fue d…"
"14",0,"<ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Chaqueta Dorada de Lentejuelas <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>

@dhiona_store 
Link Tienda: https://t.co/kZm5HQQMsS 

#dhionastore #ventas… https://t.co/a7FzfVfyow"
"15",-1,"Con un incremento del 50% en ventas en el sector #juvenil la #FeriadelLibroLPGC18, una feria que en su 30ª edición… https://t.co/5nneLI8xbs"
"16",0,"Adiós a la quimioterapia #salud #mujer #medicina #Cancer  https://t.co/us6ysNZM68"
"17",-1,"Inclusión, igualdad de condiciones...para nada señores! A por el #empoderamiento de la #mujer .  Para increíble que… https://t.co/a142GAyv3a"
"18",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B5> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
"19",0,"En GINEFEM contamos con un equipo de #especialistas con amplia experiencia y actualizados con los últimos avances e… https://t.co/fczEQofRRI"
"20",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B5> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnjLKu0"
"21",0,"RT @MMujerOnline: #Opera es nombre de #mujer. Anoche, entre bambalinas, las intérpretes femeninas de #LaTraviata pudieron disfrutar de nues…"
"22",-1,"#Opera es nombre de #mujer. Anoche, entre bambalinas, las intérpretes femeninas de #LaTraviata pudieron disfrutar d… https://t.co/B0ola0YX01"
"23",0,"<ed><U+00A0><U+00BD><ed><U+00B5><U+00B6><U+2600><U+FE0F> Gafas de Sol Retro <U+2600><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B5><U+00B6>

@dhiona_store 
Link Tienda: https://t.co/kZm5HQQMsS 

#dhionastore #yelp #tiendaonline… https://t.co/YMa8LoFp5Q"
"24",-1,"RT @FeriaLibrolpa: @KenBugul1 al haberse sentido como objeto del deseo en tierras europeas, solo por ser #Mujer, regresa a Senegal para bus…"
"25",0,"@KenBugul1 al haberse sentido como objeto del deseo en tierras europeas, solo por ser #Mujer, regresa a Senegal par… https://t.co/cY005ysCvd"
"26",1,"<ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+0084> Lápiz de Labios  Resistente <ed><U+00A0><U+00BD><ed><U+00B2><U+0084><ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

@dhiona_store 
Link Tienda: https://t.co/kZm5HQQMsS

#dhionastore #ventas… https://t.co/qEpSBelIhC"
"27",-1,"Nuestro equipo femenino <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>
#tupuedesconseguirloquequieras #mujer y #motor #rally #inclusion #discapacidad… https://t.co/dqKRYD57T1"
"28",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
"29",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnk3lSA"
"30",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/8nTvnk3lSA"
"31",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9> Los hábitos que te producen infecciones de orina y quizás no lo sepas #Mujer https://t.co/BCk7diIapz"
