"","score","text"
"1",0,"RT @Tenerife_Ocio: Cuando se junta todo en el @PNTeide, espectáculo en estado puro... #Atardecer #Teide #nevado #nieve #CinturónDeVenus #Be…"
"2",0,"RT @Tenerife_Ocio: #Atardecer de ayer en @pnteide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/1VYSMHs5LF"
"3",0,"Cuando se junta todo en el @PNTeide, espectáculo en estado puro... #Atardecer #Teide #nevado #nieve… https://t.co/orjmFRnyf9"
"4",-2,"RT @AEMET_Izana: Tras permanecer oculto por la #niebla casi toda la mañana, por fin pudimos disfrutar del #Teide!! #Izaña #nieve #Tenerife…"
"5",0,"RT @TenerifePunto: #Atardecer de ayer en @PNTeide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> vía @Tenerife_Ocio https:/…"
"6",1,"RT @Tenerife_Ocio: El #Teide #nevado, desde el cielo @pnteide #nieve #Tenerife - https://t.co/eKYiahpT0F vía @la_opinion"
"7",0,"Cuando se junta todo en el @PNTeide, espectáculo en estado puro... #Atardecer #Teide #nevado #nieve... https://t.co/QeurM7pYCX"
"8",0,"#Atardecer de ayer en @pnteide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/1VYSMHs5LF"
"9",0,"#Atardecer de ayer en @PNTeide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> vía @Tenerife_Ocio https://t.co/fJ1m1j7MX5"
"10",0,"RT @Tenerife_Ocio: El #Teide esta mañana #OperativoNevadas @pnteide #nieve #Tenerife... https://t.co/54m3omrH1I"
"11",0,"RT @Tenerife_Ocio: #Amanecer bajo cero en @pnteide desde @AEMET_Izana todavía con #nieve, hoy #OperativoNevadas #nieve #Tenerife https://t.…"
"12",0,"RT @Tenerife_Ocio: El #OperativoNevadas seguirá activo hoy @pnteide #nieve #Teide #Tenerife - https://t.co/34c1Nb1Wq0 vía @eldia"
"13",0,"El #OperativoNevadas seguirá activo hoy @pnteide #nieve #Teide #Tenerife - https://t.co/34c1Nb1Wq0 vía @eldia"
"14",1,"El #Teide #nevado, desde el cielo @pnteide #nieve #Tenerife - https://t.co/eKYiahpT0F vía @la_opinion"
"15",0,"Disfrutando de la montaña... #Teide #nieve https://t.co/N6lIgWvygv"
"16",0,"El #Teide esta mañana #OperativoNevadas @pnteide #nieve #Tenerife... https://t.co/54m3omrH1I"
"17",-1,"Hace fresquito por aquí. 6°, sol y buen tiempo. #Teide #Nieve #3718mts https://t.co/dRM1Urn52X"
"18",-1,"La nieve siempre vuelve hacia arriba, que diría Peter War...

#nieve #neige #snow #Tenerife #tenerifelicidad #Teide… https://t.co/W8lIJPt2So"
"19",-2,"Cuando tiras nieve pa'rriba y te sientes de repente protagonista de ""9 semanas y 1/2""... 

#nieve #neige #snow… https://t.co/c59Emmppb1"
"20",0,"RT @Tenerife_Ocio: El @CabildoTenerife activa de nuevo el #OperativoNevadas para el fin de semana #Teide @pnteide #nieve #Tenerife - https:…"
"21",0,"RT @Tenerife_Ocio: Hasta 25 #guaguas gratis para subir al #Teide por #LaEsperanza y #LaOrotava #OperativoNevadas #nieve #Tenerife - https:/…"
"22",1,"Majestuoso #Teide #Tenerife #IslasCanarias #nature #nieve #snow #Photo #picoftheday #picture… https://t.co/iuiEKUi6qm"
"23",0,"Hasta 25 #guaguas gratis para subir al #Teide por #LaEsperanza y #LaOrotava #OperativoNevadas #nieve #Tenerife -… https://t.co/obL4vhuMo0"
"24",1,"#Amanecer bajo cero en @pnteide desde @AEMET_Izana todavía con #nieve, hoy #OperativoNevadas #nieve #Tenerife… https://t.co/HXRoEI7eZv"
"25",0,"El @CabildoTenerife activa de nuevo el #OperativoNevadas para el fin de semana #Teide @pnteide #nieve #Tenerife -… https://t.co/zrrrPJcd6j"
"26",0,"RT @Tenerife_Ocio: El @CabildoTenerife vuelve a activar el  ‘#OperativoNevadas’ e incluye la subida por #LaOrotava #Teide #nieve @pnteide #…"
"27",0,"Hielo extremo en el Teide #hielo #ice #nieve #roca #snow #landscape #paisaje #tenerife #teide… https://t.co/M7deSiGQVd"
"28",-1,"Quería ver toda la #nieve y me llevo todo el #sol… https://t.co/USXEK9AEmV"
"29",0,"RT @zirtaeb222: Precioso<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#Tenerife #Teide #nieve #IslasCanarias https://t.co/KHp2Fu29s5"
"30",0,"Activado un nuevo ""Operativo Nevadas"" durante el fin de semana para garantizar la seguridad en los accesos al Parqu… https://t.co/T2pgCrtXxD"
"31",0,"El @CabildoTenerife vuelve a activar el  ‘#OperativoNevadas’ e incluye la subida por #LaOrotava #Teide #nieve… https://t.co/RFxlMYyQFy"
"32",0,"RT @Tenerife_Ocio: Activado de nuevo el '#OperativoNevadas' en el #Teide para este finde @CabildoTenerife @pnteide #nieve #Tenerife - https…"
"33",0,"RT @infodeushuaia: EN DIRECTO en #Periscope: #Ushuaia con #nieve en Noviembre. #Snowing in November in Ushuaia https://t.co/M9J7bDAEdY"
"34",0,"Activado de nuevo el '#OperativoNevadas' en el #Teide para este finde @CabildoTenerife @pnteide #nieve #Tenerife -… https://t.co/BChQsuSmHR"
"35",-1,"Feliz dia.... <ed><U+00A0><U+00BC><ed><U+00BC><U+009E><U+26C4> #nieve<U+2744> #felizdia #teide #tenerife en Parque Nacional del Teide https://t.co/BplcSDugPg"
"36",0,"Día de nieve... #nieve<U+2744> #tenerife #panchitoelmuñecodenieve en Tenerife https://t.co/sF5zYUsTkF"
"37",0,"Día de nieve #teide #nieve en Tenerife https://t.co/uNjE2ZjLjb"
"38",0,"Teide... #nieve<U+2744> #tenerife en Tenerife https://t.co/t6ZGsxLqXl"
"39",0,"Dia de nieve... #nieve<U+2744> #tenerife en Tenerife https://t.co/NNAOOMg7vl"
"40",0,"Día de nieve en Tenerife #nieve<U+2744> #teide en Tenerife https://t.co/c0a6LeA1CG"
"41",0,"Precioso<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#Tenerife #Teide #nieve #IslasCanarias https://t.co/KHp2Fu29s5"
"42",-1,"RT @Volantazo_LP: #Neumáticos que no necesitan #cadenas para la #nieve https://t.co/Kp7Wm5mUWE"
"43",0,"RT @Tenerife_Ocio: Escaleras al... #Teide #nieve #invierno #FelizSanValentin #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/Os5ERFw2br"
"44",1,"RT @Tenerife_Ocio: Más de 2.000 personas suben al #Teide en #guagua gracias al ‘#OperativoNevadas’ #nieve @pnteide #Tenerife - https://t.co…"
"45",-2,"RT @Tenerife_Ocio: Un lugar fantástico donde ""perderse"" haciendo #senderismo, Las Cañadas del #Teide nunca decepcionan... @pnteide #nieve #…"
"46",-2,"Un lugar fantástico donde ""perderse"" haciendo #senderismo, Las Cañadas del #Teide nunca decepcionan... @pnteide… https://t.co/GkebhpT3lY"
"47",-3,"RT @AEMET_Izana: Acercándonos a la montaña de #Izaña entre la #nieve retirada por las #cuadrillas  de @carreterasTF. https://t.co/rVY2nw8CGH"
"48",-4,"RT @AEMET_Izana: El tiempo mejora y cada vez se abren más claros que nos permiten disfrutar del paisaje nevado. #Izaña #nieve #niebla https…"
"49",1,"RT @eViajeroCurioso: Qué bien lo pasamos en la #nieve. #Día #perfecto con nuestro perrihijo.
.
#Tenerife #Canarias #Teide #teidenlove @twit…"
"50",1,"Qué bien lo pasamos en la #nieve. #Día #perfecto con nuestro perrihijo.
.
#Tenerife #Canarias #Teide #teidenlove… https://t.co/o1UCYh9zjb"
"51",0,"RT @Tenerife_Ocio: #Atardecer de ayer en @pnteide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/1VYSMHs5LF"
"52",0,"#Atardecer de ayer en @pnteide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> https://t.co/1VYSMHs5LF"
"53",0,"#Atardecer de ayer en @PNTeide #MarDeNubes #Teide #nevado #nieve #CinturónDeVenus #Tenerife <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> vía @Tenerife_Ocio https://t.co/fJ1m1j7MX5"
"54",0,"RT @zirtaeb222: Precioso<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#Tenerife #Teide #nieve #IslasCanarias https://t.co/KHp2Fu29s5"
"55",-1,"Feliz dia.... <ed><U+00A0><U+00BC><ed><U+00BC><U+009E><U+26C4> #nieve<U+2744> #felizdia #teide #tenerife en Parque Nacional del Teide https://t.co/BplcSDugPg"
"56",0,"Día de nieve... #nieve<U+2744> #tenerife #panchitoelmuñecodenieve en Tenerife https://t.co/sF5zYUsTkF"
