"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Que espectacular imagen <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2744><U+FE0F><U+2744><U+FE0F> #neveanapoli #nieve che bello¡¡ https://t.co/EslThZKZWk",FALSE,0,NA,"2018-02-27 11:52:10",FALSE,NA,"968453702511157248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edujordancruz",0,FALSE,FALSE,NA,NA
"RT @Tenerife_Ocio: Un lugar fantástico donde ""perderse"" haciendo #senderismo, Las Cañadas del #Teide nunca decepcionan... @pnteide #nieve #…",FALSE,0,NA,"2018-02-26 21:59:56",FALSE,NA,"968244266387628032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JulioAl18175505",12,TRUE,FALSE,NA,NA
"#Nieve en Italia. Mirá las #fotos. https://t.co/6X2LCH6HFk",FALSE,0,NA,"2018-02-26 20:30:03",FALSE,NA,"968221643855224832",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TourRadial",0,FALSE,FALSE,NA,NA
"TENERIFE... Tierra de Contrastes! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>#paisaje #island #FelizLunes #sea #montaña #olas #ciudad #pueblos #nieve #playas https://t.co/yy6DsJAQEx",FALSE,1,NA,"2018-02-26 15:51:27",FALSE,NA,"968151534289768448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Letydreams",0,FALSE,FALSE,NA,NA
"Cuando se junta todo en el @PNTeide, espectáculo en estado puro... #Atardecer #Teide #nevado #nieve... https://t.co/tLBlQ70Ti5",FALSE,0,NA,"2018-02-26 11:18:14",FALSE,NA,"968082776900734976",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TenerifePunto",0,FALSE,FALSE,NA,NA
"RT @Tenerife_Ocio: Cuando se junta todo en el @PNTeide, espectáculo en estado puro... #Atardecer #Teide #nevado #nieve #CinturónDeVenus #Be…",FALSE,0,NA,"2018-02-26 09:54:59",FALSE,NA,"968061824548724736",NA,"<a href=""http://www.socialmatize.com"" rel=""nofollow"">Socialmatize App</a>","koseiprof",16,TRUE,FALSE,NA,NA
"RT @AEMET_Izana: Imagen de una de nuestras cámaras mientras caían algunos copos a mediodía. #AlertaLluvias #nieve #Izaña #Tenerife
https://…",FALSE,0,NA,"2018-02-24 21:05:37",FALSE,NA,"967505820991750144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AGMTfe",43,TRUE,FALSE,NA,NA
"En nuestro recorrido hasta el Observatorio Atmosférico de #Izaña encontramos #escarcha en la carretera… que va desa… https://t.co/BZJ7dB7gwl",FALSE,87,NA,"2018-02-24 11:21:18",TRUE,NA,"967358770585235456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AEMET_Izana",24,FALSE,FALSE,NA,NA
"RT @Tenerife_Ocio: #FMACanarias | Las borrascas traen la #nieve al #Teide @pnteide #Tenerife - https://t.co/wwjSzs5Pnu vía @la_opinion",FALSE,0,NA,"2018-02-24 09:56:03",FALSE,NA,"967337316573466624",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","TenerifePunto",3,TRUE,FALSE,NA,NA
"RT @infodeushuaia: EN DIRECTO en #Periscope: #Ushuaia con #nieve en Noviembre. #Snowing in November in Ushuaia https://t.co/M9J7bDAEdY",FALSE,0,NA,"2018-02-23 21:25:22",FALSE,NA,"967148401690333184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Lilenrio",9,TRUE,FALSE,NA,NA
"RT @VisitTenerifeES: Vuelve la  #Nieve #VisitTenerife https://t.co/KLqtVuIU1k",FALSE,0,NA,"2018-02-23 19:27:17",FALSE,NA,"967118685096816640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IoanGil",2,TRUE,FALSE,NA,NA
"Vuelve la  #Nieve #VisitTenerife https://t.co/KLqtVuIU1k",FALSE,2,NA,"2018-02-23 19:17:45",FALSE,NA,"967116285892087808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VisitTenerifeES",2,FALSE,FALSE,NA,NA
"#FMACanarias | Las borrascas traen la #nieve al #Teide @pnteide #Tenerife - https://t.co/wwjSzs5Pnu vía @la_opinion",FALSE,6,NA,"2018-02-23 17:53:06",FALSE,NA,"967094983210799104",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Tenerife_Ocio",3,FALSE,FALSE,NA,NA
"RT @Tenerife_Ocio: Vuelve a nevar en El #Teide #nieve #FMACanarias @pnteide #Tenerife https://t.co/w8nGII6dSa vía @diariodeavisos",FALSE,0,NA,"2018-02-23 17:35:11",FALSE,NA,"967090476070375424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lilith_caronte",2,TRUE,FALSE,NA,NA
