"","score","text"
"1",-4,"Aznar es aun más pasado que Rajoy.

Y eso que M.Rajoy y es pasado.

#Pasado #PP #Aznar #Rajoy #Politica #España"
"2",1,"RT @ondacero_can: Manuel Domínguez (#PP): ""No permitiremos que ningún líder político viva de espaldas a los intereses de #Canarias. No vamo…"
"3",-2,".@Ander_Gil el Gobierno de @sanchezcastejon ha sido elegido con 180 votos, el de #Rajoy con 170, cual es menos legí… https://t.co/jJhYajF5N3"
"4",1,"Manuel Domínguez (#PP): ""No permitiremos que ningún líder político viva de espaldas a los intereses de #Canarias. N… https://t.co/JAA0aOQAkQ"
"5",-1,"@esRadio @eslamananadeFJL @esRadio Federico ya se fue, supera lo #rajoy estas muy salvame."
"6",-2,"El #PP ya ha colgado a M.Rajoy en #wallapop #rajoy https://t.co/Bn6JK88jIu"
"7",-1,"Retweeted Daniel Lacalle (@dlacalle):

Mariano Rajoy anuncia que deja la presidencia del Partido Popular. 
«Es lo m… https://t.co/iKjrnwcJTn"
"8",0,"#ESPAÑA_AH |
 ""Es lo mejor para el PP, para mí y para España""
#PP,#Rajoy #PartidoPopular 
https://t.co/ZKy5XmwCKK https://t.co/i4CWhLp2oP"
"9",-4,"El problema del PP ahora es el vacío, precisamente porque en política EL VACÍO NO EXISTE. Por eso tienen que celebr… https://t.co/JpZq1FEx4T"
"10",-2,"En 2018, y tras ser desalojado del poder con una moción de censura siendo el PP la fuerza más votada, el mismo Rajo… https://t.co/OKcjL2d4iz"
"11",-4,"En 2008, tras perder dos elecciones generales consecutivas, Mariano Rajoy se quedó al frente del PP para evitar una… https://t.co/SMmuBfvh6v"
"12",-2,"¡Cuántos hechos para la Historia en tan poco tiempo! #Rajoy #PedroSanchez #MocionDeCensura #Zidane"
"13",2,"Una Junta Directiva Nacional elegirá a un nuevo líder y una nueva dirección. 
#Rajoy dejará todos los cambios a su… https://t.co/7DJo4Y9iDL"
"14",-2,"#Rajoy anuncia que se va: “es lo mejor para el Partido Popular y para mí, y también para España”."
"15",-5,"No entiendo a esa gente que pide autocrítica de Rajoy , cuando deberían de hacerlo ellos , aprender de política y d… https://t.co/0XOcVCKf06"
"16",-2,". #Rajoy acaba de definir al nuevo gobierno como ""Frankenstein"". 
Ya sólo falta que diga que es de centro para clon… https://t.co/ahrtP3C8yV"
"17",2,"Rajoy: ""el mejor en lo suyo"". La Constitución establece la moción de censura como medida, ahora si me la haces a mi… https://t.co/rRtW06D03v"
"18",-3,"Cada quien es responsable de lo que hace,#Rajoy de no dimitir y llamar a #Elecciones. #Sanchez será responsable de… https://t.co/NPzN8SPhEN"
"19",1,"Combatiendo la AMNESIA- #Rajoy no le dará dinero a los bancos, como ha hecho Rubalcaba https://t.co/4lu2ZIkiXP vía @YouTube"
"20",-2,"@JLMagaz A #RafaNadal @RafaelNadal yo le diría 
que le pregunte a #Mpunto #Rajoy porqué no dimitió y convocó elecciones"
"21",-3,"RT @Mandiprieto: #L6Npedropresidente A ver, #PacoMarhuenda, (@pacomarhuenda ), ¡Que #Rajoy NUNCA le ganó a #Zapatero ni al bridge..!! Dos (…"
"22",-2,"#L6Npedropresidente A ver, #PacoMarhuenda, (@pacomarhuenda ), ¡Que #Rajoy NUNCA le ganó a #Zapatero ni al bridge..!… https://t.co/r5wByX6xVo"
"23",0,"Pues sí, SI ESTABA el gallego:El saliente ""usurpado"",el #PresidenteSaliente,que debía ""entregar""o""ENTREGARSE"",el et… https://t.co/dIoMtLFB6v"
"24",0,"Pues sí, SI ESTABA el gallego:El saliente ""usurpado"",el #PresidenteSaliente,que debía ""entregar""o""ENTREGARSE"",el et… https://t.co/C1dP929v6E"
"25",0,"@LeticiaDolera Pues sí, SI ESTABA el gallego:El saliente ""usurpado"",el #PresidenteSaliente,que debía ""entregar""o""EN… https://t.co/G2wVxlpPDM"
"26",-1,"Falta el saliente,el supuesto ""usurpado"",el #PresidenteSaliente,que debería ""entregar"" o ""ENTREGARSE"",eterno ""Convi… https://t.co/UdhIRl7W9I"
"27",0,"@LeticiaDolera El saliente,el supuesto ""usurpado"",el #PresidenteSaliente,que debería ""entregar"" o ""ENTREGARSE"",el e… https://t.co/mmFz2IEAEU"
"28",-1,"Ser de derechas y no soportar a Mariano Rajoy.#Rajoy"
"29",2,"""Después de muertos, todos los difuntos siempre fueron buenos""
Es realmente increíble como ensalzan a #Rajoy alguno… https://t.co/EcnEBqRnl8"
"30",-2,"Ya sabía yo que #Rajoy quería prepararse algo #Transvulcania https://t.co/n4n0r5KKAl"
"31",-2,"ATENCIÓN: si sientes Fatiga Ocular, Ojo Seco, Dolor de Cabeza o Visión Borrosa... ¡Es que ERES #Rajoy,(… https://t.co/Dd8jce0TJT"
"32",-2,"RT @chichacritic: Sorpresa en las filas @ppdecanarias @PPparcan el bilbaíno @asierantona no haya hecho su crónica política y valoración de…"
"33",0,"Trump celebrará finalmente la reunion  con King  Jong-un  el 12 de junio en Singapur 
#PedroSanchezPresidente #Rajoy #BienvenidoJunio #1Jun"
"34",-2,"Todo muy lindo, pero ¿va o no va peso preso #Rajoy?"
"35",-2,"Sorpresa en las filas @ppdecanarias @PPparcan el bilbaíno @asierantona no haya hecho su crónica política y valoraci… https://t.co/cTqzpMOpLs"
"36",0,"Ahora a gozar Rajoy. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #Rajoy https://t.co/qRYMXc6lNo"
"37",-3,"RT @metazamario: PPK en #Perú se opuso a la presencia de @NicolasMaduro en la cumbre de las Américas. #Rajoy enemigo acérrimo de #Venezuela…"
"38",-1,"M. Rajoy saliendo esta mañana del congreso... 
#MocionPsoeARV #AdiosRajoy #Rajoy https://t.co/yE22DP7jTA"
"39",1,"#MociónCensura #Rajoy

Destituyeron al principal aliado europeo de @mauriciomacri 
El consevador @marianorajoy deja… https://t.co/ASNn4NWw8Y"
"40",1,"RT @Guolisniando: Ahora que echan a Rajoy, en el @PPopular ya buscan una salida al famoso plasma de #Rajoy en la campaña de #KilosPorEuros…"
"41",-3,"Pues se ha quedado un día estupendo para que los ministros salientes vuelvan a cantar ""soy un novio de la muerte""..… https://t.co/3SWVmnx9Ku"
"42",0,"@CNNEE Pregunto desde la ignorancia. ¿Como funciona la moción de censura? ¿Por qué son los partidos quienes deciden… https://t.co/mmayLaeRWB"
"43",0,"Primeras declaraciones de #Rajoy tras ser destituido como presidente del gobierno: https://t.co/imcJ05iiJx"
"44",-1,"Ahora que ya no es el presidente, ¿algun juez puede investigar cómo consiguió Rajoy su plaza de registrador de la p… https://t.co/cmmnkYjIm9"
"45",1,"Ahora que echan a Rajoy, en el @PPopular ya buscan una salida al famoso plasma de #Rajoy en la campaña de… https://t.co/SibK2v5Qfc"
"46",-1,"Orden de busca y captura  a #Rajoy
La Interpol registra restaurantes con <U+2B50><U+2B50><U+2B50> Michelín
#MocionCensura #RafaelHernando"
"47",0,"Los que tengan un chalet, no pueden votar una #MocionCensura contra #Rajoy"
"48",-3,"PPK en #Perú se opuso a la presencia de @NicolasMaduro en la cumbre de las Américas. #Rajoy enemigo acérrimo de… https://t.co/ygqR7jnCRi"
"49",-1,"¿Y si los políticos se vieran obligados a colaborar para sobrevivir? Prueba a este mod de #ThisWarOfMine con #Rajoy… https://t.co/tQyfBpd4rj"
"50",0,"El sainete
#MocionCensura #MociónDeCensura #Rajoy"
"51",-4,"RT @Marahersa: .@sanchezcastejon dejó su escaño por no ser cómplice de la corrupción del #PP. Hoy vuelve al Hemiciclo para evitar que los e…"
"52",-2,"@marianorajoy no le queda muy bien el traje de democrata.
Aqui en Catalunya hay gente que aun ganando elecciones es… https://t.co/Rsq2NzyIV4"
"53",-3,"RT @lourdes_2108: La #MociónDeCensura a #Rajoy está más animada que ir de compras con un cheque regalo de 6000 euros"
"54",-4,"No se extrañen si sale el señor #rajoy dimitiendo a través de un plasma, pero que lo haga!! #MocionCensura"
