"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Aznar es aun más pasado que Rajoy.

Y eso que M.Rajoy y es pasado.

#Pasado #PP #Aznar #Rajoy #Politica #España",FALSE,0,NA,"2018-06-06 13:14:31",FALSE,NA,"1004350827396558848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseCardenosa",0,FALSE,FALSE,NA,NA
"RT @ondacero_can: Manuel Domínguez (#PP): ""No permitiremos que ningún líder político viva de espaldas a los intereses de #Canarias. No vamo…",FALSE,0,NA,"2018-06-06 12:17:44",FALSE,NA,"1004336535829925888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yendy_Hernandez",1,TRUE,FALSE,NA,NA
".@Ander_Gil el Gobierno de @sanchezcastejon ha sido elegido con 180 votos, el de #Rajoy con 170, cual es menos legí… https://t.co/jJhYajF5N3",FALSE,1,NA,"2018-06-06 11:45:44",TRUE,NA,"1004328483554775040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marahersa",0,FALSE,FALSE,NA,NA
"Manuel Domínguez (#PP): ""No permitiremos que ningún líder político viva de espaldas a los intereses de #Canarias. N… https://t.co/JAA0aOQAkQ",FALSE,1,NA,"2018-06-06 10:39:00",TRUE,NA,"1004311686931722240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ondacero_can",1,FALSE,FALSE,NA,NA
"@esRadio @eslamananadeFJL @esRadio Federico ya se fue, supera lo #rajoy estas muy salvame.",FALSE,0,"esRadio","2018-06-06 08:53:53",FALSE,"1004266614387367936","1004285233708126208","47823211","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tibycordero",0,FALSE,FALSE,NA,NA
"El #PP ya ha colgado a M.Rajoy en #wallapop #rajoy https://t.co/Bn6JK88jIu",FALSE,0,NA,"2018-06-05 14:32:19",FALSE,NA,"1004008017854173184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","klopapeiro",0,FALSE,FALSE,NA,NA
"Retweeted Daniel Lacalle (@dlacalle):

Mariano Rajoy anuncia que deja la presidencia del Partido Popular. 
«Es lo m… https://t.co/iKjrnwcJTn",FALSE,0,NA,"2018-06-05 14:27:14",TRUE,NA,"1004006735974141952",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ivonnediaz2203",0,FALSE,FALSE,NA,NA
"#ESPAÑA_AH |
 ""Es lo mejor para el PP, para mí y para España""
#PP,#Rajoy #PartidoPopular 
https://t.co/ZKy5XmwCKK https://t.co/i4CWhLp2oP",FALSE,0,NA,"2018-06-05 14:00:02",FALSE,NA,"1003999891172069376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","atlantico_hoy",0,FALSE,FALSE,NA,NA
"El problema del PP ahora es el vacío, precisamente porque en política EL VACÍO NO EXISTE. Por eso tienen que celebr… https://t.co/JpZq1FEx4T",FALSE,1,"JMBethencourt","2018-06-05 13:08:06",TRUE,"1003986819996901376","1003986822970650624","22469259","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JMBethencourt",0,FALSE,FALSE,NA,NA
"En 2018, y tras ser desalojado del poder con una moción de censura siendo el PP la fuerza más votada, el mismo Rajo… https://t.co/OKcjL2d4iz",FALSE,0,"JMBethencourt","2018-06-05 13:08:05",TRUE,"1003986815555133440","1003986819996901376","22469259","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JMBethencourt",0,FALSE,FALSE,NA,NA
"En 2008, tras perder dos elecciones generales consecutivas, Mariano Rajoy se quedó al frente del PP para evitar una… https://t.co/SMmuBfvh6v",FALSE,0,NA,"2018-06-05 13:08:04",TRUE,NA,"1003986815555133440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JMBethencourt",0,FALSE,FALSE,NA,NA
"¡Cuántos hechos para la Historia en tan poco tiempo! #Rajoy #PedroSanchez #MocionDeCensura #Zidane",FALSE,0,NA,"2018-06-05 12:08:44",FALSE,NA,"1003971881395982336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TereCoello",0,FALSE,FALSE,NA,NA
"Una Junta Directiva Nacional elegirá a un nuevo líder y una nueva dirección. 
#Rajoy dejará todos los cambios a su… https://t.co/7DJo4Y9iDL",FALSE,1,NA,"2018-06-05 11:04:04",TRUE,NA,"1003955610394791936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JUSANHER",0,FALSE,FALSE,NA,NA
"#Rajoy anuncia que se va: “es lo mejor para el Partido Popular y para mí, y también para España”.",FALSE,1,NA,"2018-06-05 11:01:50",FALSE,NA,"1003955045774356480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JUSANHER",0,FALSE,FALSE,NA,NA
"No entiendo a esa gente que pide autocrítica de Rajoy , cuando deberían de hacerlo ellos , aprender de política y d… https://t.co/0XOcVCKf06",FALSE,0,NA,"2018-06-05 10:50:28",TRUE,NA,"1003952184751525888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnieGarciia5",0,FALSE,FALSE,NA,NA
". #Rajoy acaba de definir al nuevo gobierno como ""Frankenstein"". 
Ya sólo falta que diga que es de centro para clon… https://t.co/ahrtP3C8yV",FALSE,1,NA,"2018-06-05 10:42:36",TRUE,NA,"1003950207602778112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joni_Radio",0,FALSE,FALSE,NA,NA
"Rajoy: ""el mejor en lo suyo"". La Constitución establece la moción de censura como medida, ahora si me la haces a mi… https://t.co/rRtW06D03v",FALSE,1,NA,"2018-06-05 10:38:28",TRUE,NA,"1003949167935479808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Isabel_Casanova",0,FALSE,FALSE,NA,NA
"Cada quien es responsable de lo que hace,#Rajoy de no dimitir y llamar a #Elecciones. #Sanchez será responsable de… https://t.co/NPzN8SPhEN",FALSE,0,NA,"2018-06-04 17:09:13",TRUE,NA,"1003685115258658816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jce6000Cabrera",0,FALSE,FALSE,NA,NA
"Combatiendo la AMNESIA- #Rajoy no le dará dinero a los bancos, como ha hecho Rubalcaba https://t.co/4lu2ZIkiXP vía @YouTube",FALSE,0,NA,"2018-06-03 13:45:36",FALSE,NA,"1003271484876484608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kchoman1",0,FALSE,FALSE,NA,NA
"@JLMagaz A #RafaNadal @RafaelNadal yo le diría 
que le pregunte a #Mpunto #Rajoy porqué no dimitió y convocó elecciones",FALSE,1,"JLMagaz","2018-06-03 10:07:06",FALSE,"1003215262102016000","1003216499488837632","200834123","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BiciGranCanaria",0,FALSE,FALSE,NA,NA
"RT @Mandiprieto: #L6Npedropresidente A ver, #PacoMarhuenda, (@pacomarhuenda ), ¡Que #Rajoy NUNCA le ganó a #Zapatero ni al bridge..!! Dos (…",FALSE,0,NA,"2018-06-03 00:03:08",FALSE,NA,"1003064505298022400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","angelmoran1957",2,TRUE,FALSE,NA,NA
"#L6Npedropresidente A ver, #PacoMarhuenda, (@pacomarhuenda ), ¡Que #Rajoy NUNCA le ganó a #Zapatero ni al bridge..!… https://t.co/r5wByX6xVo",FALSE,2,NA,"2018-06-02 23:56:41",TRUE,NA,"1003062881309675520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandiprieto",2,FALSE,FALSE,NA,NA
"Pues sí, SI ESTABA el gallego:El saliente ""usurpado"",el #PresidenteSaliente,que debía ""entregar""o""ENTREGARSE"",el et… https://t.co/dIoMtLFB6v",FALSE,1,"Mandiprieto","2018-06-02 11:37:15",TRUE,"1002863856316755968","1002876796038189056","299036531","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandiprieto",0,FALSE,FALSE,NA,NA
"Pues sí, SI ESTABA el gallego:El saliente ""usurpado"",el #PresidenteSaliente,que debía ""entregar""o""ENTREGARSE"",el et… https://t.co/C1dP929v6E",FALSE,1,"Mandiprieto","2018-06-02 11:36:07",TRUE,"1002864754690609152","1002876512608161792","299036531","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandiprieto",0,FALSE,FALSE,NA,NA
"@LeticiaDolera Pues sí, SI ESTABA el gallego:El saliente ""usurpado"",el #PresidenteSaliente,que debía ""entregar""o""EN… https://t.co/G2wVxlpPDM",FALSE,2,"LeticiaDolera","2018-06-02 11:17:29",TRUE,"1002852139033653248","1002871823133011968","287332193","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandiprieto",0,FALSE,FALSE,NA,NA
"Falta el saliente,el supuesto ""usurpado"",el #PresidenteSaliente,que debería ""entregar"" o ""ENTREGARSE"",eterno ""Convi… https://t.co/UdhIRl7W9I",FALSE,1,NA,"2018-06-02 10:49:24",TRUE,NA,"1002864754690609152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandiprieto",0,FALSE,FALSE,NA,NA
"@LeticiaDolera El saliente,el supuesto ""usurpado"",el #PresidenteSaliente,que debería ""entregar"" o ""ENTREGARSE"",el e… https://t.co/mmFz2IEAEU",FALSE,1,"LeticiaDolera","2018-06-02 10:43:45",TRUE,"1002852139033653248","1002863333282865152","287332193","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mandiprieto",0,FALSE,FALSE,NA,NA
"Ser de derechas y no soportar a Mariano Rajoy.#Rajoy",FALSE,1,NA,"2018-06-02 09:51:22",FALSE,NA,"1002850150870593536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MartzCblo",0,FALSE,FALSE,NA,NA
"""Después de muertos, todos los difuntos siempre fueron buenos""
Es realmente increíble como ensalzan a #Rajoy alguno… https://t.co/EcnEBqRnl8",FALSE,1,NA,"2018-06-01 23:42:32",TRUE,NA,"1002696932681281536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RuthMQ",0,FALSE,FALSE,NA,NA
"Ya sabía yo que #Rajoy quería prepararse algo #Transvulcania https://t.co/n4n0r5KKAl",FALSE,0,NA,"2018-06-01 23:28:23",FALSE,NA,"1002693373084536832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jmleonfumero",0,FALSE,FALSE,NA,NA
"ATENCIÓN: si sientes Fatiga Ocular, Ojo Seco, Dolor de Cabeza o Visión Borrosa... ¡Es que ERES #Rajoy,(… https://t.co/Dd8jce0TJT",FALSE,1,NA,"2018-06-01 20:23:50",TRUE,NA,"1002646925890420736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mandiprieto",0,FALSE,FALSE,NA,NA
"RT @chichacritic: Sorpresa en las filas @ppdecanarias @PPparcan el bilbaíno @asierantona no haya hecho su crónica política y valoración de…",FALSE,0,NA,"2018-06-01 19:45:04",FALSE,NA,"1002637173777227776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JUSANHER",1,TRUE,FALSE,NA,NA
"Trump celebrará finalmente la reunion  con King  Jong-un  el 12 de junio en Singapur 
#PedroSanchezPresidente #Rajoy #BienvenidoJunio #1Jun",FALSE,0,NA,"2018-06-01 19:06:21",FALSE,NA,"1002627427477094400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LAVERDADDELMUN2",0,FALSE,FALSE,NA,NA
"Todo muy lindo, pero ¿va o no va peso preso #Rajoy?",FALSE,0,NA,"2018-06-01 19:01:19",FALSE,NA,"1002626159979520000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SmosLibres",0,FALSE,FALSE,NA,NA
"Sorpresa en las filas @ppdecanarias @PPparcan el bilbaíno @asierantona no haya hecho su crónica política y valoraci… https://t.co/cTqzpMOpLs",FALSE,0,NA,"2018-06-01 17:46:18",TRUE,NA,"1002607283090620416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","chichacritic",1,FALSE,FALSE,NA,NA
"Ahora a gozar Rajoy. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #Rajoy https://t.co/qRYMXc6lNo",FALSE,1,NA,"2018-06-01 15:54:33",FALSE,NA,"1002579161112858624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daniims97",0,FALSE,FALSE,NA,NA
"RT @metazamario: PPK en #Perú se opuso a la presencia de @NicolasMaduro en la cumbre de las Américas. #Rajoy enemigo acérrimo de #Venezuela…",FALSE,0,NA,"2018-06-01 15:39:20",FALSE,NA,"1002575330865971200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tritigrehernan",6,TRUE,FALSE,NA,NA
"M. Rajoy saliendo esta mañana del congreso... 
#MocionPsoeARV #AdiosRajoy #Rajoy https://t.co/yE22DP7jTA",FALSE,2,NA,"2018-06-01 15:33:22",FALSE,NA,"1002573830781587456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angelrinconr6",0,FALSE,FALSE,NA,NA
"#MociónCensura #Rajoy

Destituyeron al principal aliado europeo de @mauriciomacri 
El consevador @marianorajoy deja… https://t.co/ASNn4NWw8Y",FALSE,1,NA,"2018-06-01 13:02:32",TRUE,NA,"1002535870187089920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiegoRad_TdF",1,FALSE,FALSE,NA,NA
"RT @Guolisniando: Ahora que echan a Rajoy, en el @PPopular ya buscan una salida al famoso plasma de #Rajoy en la campaña de #KilosPorEuros…",FALSE,0,NA,"2018-06-01 12:48:14",FALSE,NA,"1002532274213138432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Guolisniando",1,TRUE,FALSE,NA,NA
"Pues se ha quedado un día estupendo para que los ministros salientes vuelvan a cantar ""soy un novio de la muerte""..… https://t.co/3SWVmnx9Ku",FALSE,1,NA,"2018-06-01 10:37:00",TRUE,NA,"1002499244232728576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valdivia_jos",0,FALSE,FALSE,NA,NA
"@CNNEE Pregunto desde la ignorancia. ¿Como funciona la moción de censura? ¿Por qué son los partidos quienes deciden… https://t.co/mmayLaeRWB",FALSE,2,"CNNEE","2018-06-01 10:30:17",TRUE,"1002483663622299648","1002497556151234560","33884545","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseGMarzoa",0,FALSE,FALSE,NA,NA
"Primeras declaraciones de #Rajoy tras ser destituido como presidente del gobierno: https://t.co/imcJ05iiJx",FALSE,0,NA,"2018-06-01 09:55:42",FALSE,NA,"1002488853716971520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GioxToxic",0,FALSE,FALSE,NA,NA
"Ahora que ya no es el presidente, ¿algun juez puede investigar cómo consiguió Rajoy su plaza de registrador de la p… https://t.co/cmmnkYjIm9",FALSE,0,NA,"2018-06-01 09:36:43",TRUE,NA,"1002484076597661696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crisdromeda",0,FALSE,FALSE,NA,NA
