"","score","text"
"1",0,"Trabajo en la Provincia de S/C de Tenerife https://t.co/757WMo6fsM https://t.co/DB8rrWQjBQ"
"2",-2,"El Consistorio de Santa Cruz de Tenerife destina 155.000 euros a clubes y asociaciones deportivas del municipio https://t.co/et3WkwXdus"
"3",-2,"#SCagustoconDorada, del 15 de junio al 15 de julio en la Plaza de la Candelaria. 

¡Deporte y diversión con… https://t.co/wViNQtgRD5"
"4",-1,"@labuenadecision @Jonay_CDT @maayalaa Ya quisiera el tenerife tener el presupuesto del malaga. Ustedes tienen tiemp… https://t.co/WfjGmoqTR4"
"5",0,"RT laculturaensc: https://t.co/YCKxM5OGus #Tenerife #SantaCruzdeTenerife #Informatico"
"6",0,"@AdrianPSB1 @NereidaRamRam @EmocionesCan @paisajecanario @VisitTenerifeES @Tenerife_Ocio @LoqueVeoTfe… https://t.co/jv8O3oy6Xt"
"7",-1,"Alfonso Serrano confirma que Angel Galvan pasará a ser portero profesional del club deportivo Tenerife"
"8",1,"Yeray Durán analiza su nuevo triunfo en la Cajamar Tenerife Bluetrail. @TenerifeBlueTra 
https://t.co/oS7Mcmf1TU"
"9",0,"@susanamachinro @Carlosenderos @VisitTenerifeES @LoqueVeoTfe @TenerifeBonjour @TenerifeExplore @TeneriFeliz… https://t.co/rJqSrFaq3m"
"10",-1,"RT @Carlosenderos: No me dirán, que no es bonito...<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Sendero que te atrapa con su atractivo!!
#Tenerifelicidad #senderismo #Canarias
@Visit…"
"11",-3,"RT @UDGTenerife: [FICHAJE] @nataliaramos10a , vuelve a la UDG Tenerife Egatesa. 

• La polivalente futbolista se compromete para las dos pr…"
"12",0,"Este sábado @SabrinaSalerno en #Tenerife ¿Te vienes a divertir con nosotros al @HRHtenerife ? ¡Te invito!… https://t.co/Pzh6cBUUDL"
"13",-2,"RT @recintoferialtf: <ed><U+00A0><U+00BD><ed><U+00B4><U+0088> Emilio Duró y Eugenio Palomero, reclamos del ""Fórum Empleo Tenerife en Acción""
El @CabildoTenerife contará este miér…"
"14",0,"RT @Carlosenderos: Hay balcones naturales donde, asomarse, es disfrutar de unas bonitas vistas!!
Santa Cruz de Tenerife y el PadreTeide vig…"
"15",0,"""Si pasas demasiado deprisa por la vida, te perderás los mejores paisajes"" <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
#FelizMartes #LagoMartiánez… https://t.co/34T3jXFpfZ"
"16",0,"#Turismo: Los aeropuertos de las #IslasCanarias recibieron, durante el mes de mayo 2018, 3,39 millones de pasajeros… https://t.co/Rh0X8TPuQ8"
"17",1,"RT @ven_a_canarias: Alguien conoce este lugar en Tenerife? <ed><U+00A0><U+00BE><ed><U+00B7><U+0090><ed><U+00A0><U+00BD><ed><U+00B8><U+00AF> #maravilla #nature #praiso #venacanarias #islascanarias #puravida <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> @yoselin.…"
"18",-1,"Pretemporada del #CDTenerife 2018-19:

-Partido vs club de #TerceraDivisión (Tenerife)
-#CopaMahou (1 partido, 21 j… https://t.co/NvKHCxxNxA"
"19",0,"RT @ELDORSAL: #CDTenerife <U+26BD> El director deportivo anuncia que, hasta el momento, tiene intención de incorporar tres futbolistas. Conoce tod…"
"20",0,"RT @Carlosenderos: Barranco de Chacorche, Igueste de Candelaria...impresionantes laderas verticales!! #Tenerifelicidad #senderismo @VisitTe…"
"21",0,"El Tenerife hará la pretemporada en Marbella https://t.co/IM7HdV8TYY https://t.co/GeWMBwM1nd"
"22",-3,"RT @JAPtw: Pasan los años y las temporadas... Hoy Alfonso Serrano, secretario técnico del CD Tenerife dice: ""Tenemos mucha ilusión y confia…"
"23",0,"#CDTenerife <U+26BD> El director deportivo anuncia que, hasta el momento, tiene intención de incorporar tres futbolistas.… https://t.co/dH8XVArDGG"
"24",0,"RT @OyeTato: ¡Feliz inicio de semana! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8>

#Tenerife #IslasCanarias #Spain https://t.co/1eTAJyQYiX"
"25",-2,"RT @VisitTenerifeES: Taganana, un pequeño rincón escondido en #Tenerife #VisitTenerife https://t.co/UJbf3nBnz0"
"26",0,"Singular geología en #Acantilados #LosGigantes #SantiagodelTeide 12:00h
Más webcams en directo:… https://t.co/FJSwtybfa5"
"27",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+0088> Emilio Duró y Eugenio Palomero, reclamos del ""Fórum Empleo Tenerife en Acción""
El @CabildoTenerife contará este m… https://t.co/VcFXQdGFJM"
"28",0,"LAJS Sta. Cruz de Tenerife. Reclamaciones al Ministerio de Justicia https://t.co/MvUzHPVA93"
"29",-3,"Y por lo que dijo el secretario técnico del CD Tenerife hoy, en pretemporada habrán 2 amistosos con clubes de 3ª Di… https://t.co/2bKZtEPvOr"
"30",-1,"RT @Agataantonio2: A tu lado soy mejor,El Medano,@granadillaabona ,Tenerife,@VisitTenerifeES @MeteoRTVC @ven_a_canarias @rincondecanaria @p…"
"31",1,"La nueva #app de #EngelVoelkers para todos los propietarios. ¡Transparencia total! https://t.co/qOpLnRdWyI"
"32",-1,"#Rusia2018 <ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><U+26BD><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BF><U+0086> Juan Antonio Pizzi debuta con #ArabiaSaudí en partido oficial contra la anfitriona del Mundial… https://t.co/z3RpB6uqbn"
"33",-1,"Y en la pretemporada, el CD Tenerife pone rumbo a Marbella. Sí, Marbella, donde harán un stage de una semana en la… https://t.co/eAdANk8MKQ"
"34",1,"RT @Carlosenderos: Bonito y acogedor Norte de Tenerife!! #Tenerifelicidad #Tenerife #Canarias 
@VisitTenerifeES @ViveelNorte @TeneriFeliz @…"
"35",0,"Nos preparamos para el verano....GARACHICO....TENERIFE. https://t.co/Wo41ciD4NC"
"36",1,"RT @enrique_glez: Arranca el gran #DebateHoteleroTenerife en @HardRockHotels #Tenerife organizado por @GrupoViaSpain https://t.co/qmK6VXIlDF"
"37",-3,"Fantástica oportunidad en La Pelada, El Médano, Tenerife. Una zona residencial tranquila, cerca del mar y de todas… https://t.co/BjAt8uX128"
"38",-4,"Un Club con la historia del CD Tenerife, que presume de canariedad, ¿no tiene opciones para que el Cuerpo Técnico d… https://t.co/RQsO1uucE6"
"39",-1,"RT @VisitPtoCruz: Este domingo comienza la celebración del #DíaEuropeodelaMúsica, con una semana que estará repleta de conciertos musicales…"
"40",-1,"La @RSEAP_Tenerife acoge esta tarde una conferencia sobre las estrategias comerciales de la industria cinematográfi… https://t.co/Wd4lgkVeXr"
"41",-2,"RT @CNECHEYDE: Hay cosas que en el verano no te puedes perder. Uno de estos eventos es el ""VIII Torneo Internacional Isla de Tenerife"", en…"
"42",0,"@PepN_Footage @VisitTenerifeES @MarinaComes @VolcanoTeide @yoamocanarias @TenerifeVivela @Tenerife_Ocio @holyber… https://t.co/R08ydKlH6E"
"43",-1,"RT @Auditoriotfe: Este domingo 10 de junio ha tenido lugar el Concierto de clausura del ciclo Primavera Musical 2018, dirigido por Jesús Ag…"
"44",-4,"RT @JFAR_92: Estoy muy-muy lejos del bando este de rajar de todo del Tenerife por rajar, pero vaya mierda de rueda de prensa se acaba de ma…"
"45",0,"RT @OyeTato: Te acompañamos en cada paso de la transformación digital de tu empresa. #Tenerife #IslasCanarias https://t.co/m2uvw7sEm8"
