"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Trabajo en la Provincia de S/C de Tenerife https://t.co/757WMo6fsM https://t.co/DB8rrWQjBQ",FALSE,0,NA,"2018-06-12 11:22:02",FALSE,NA,"1006496845173022720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tenerifeweek",0,FALSE,FALSE,NA,NA
"El Consistorio de Santa Cruz de Tenerife destina 155.000 euros a clubes y asociaciones deportivas del municipio https://t.co/et3WkwXdus",FALSE,0,NA,"2018-06-12 11:19:30",FALSE,NA,"1006496206640635904",NA,"<a href=""http://canariasnoticias.es"" rel=""nofollow"">Canarias Noticias</a>","CanariasNotic",0,FALSE,FALSE,NA,NA
"#SCagustoconDorada, del 15 de junio al 15 de julio en la Plaza de la Candelaria. 

¡Deporte y diversión con… https://t.co/wViNQtgRD5",FALSE,0,NA,"2018-06-12 11:17:38",TRUE,NA,"1006495739063697408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vivedgeventos",0,FALSE,FALSE,NA,NA
"@labuenadecision @Jonay_CDT @maayalaa Ya quisiera el tenerife tener el presupuesto del malaga. Ustedes tienen tiemp… https://t.co/WfjGmoqTR4",FALSE,0,"labuenadecision","2018-06-12 11:17:28",TRUE,"1006495100531281920","1006495696290304000","917852813803311104","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dniel991",0,FALSE,FALSE,NA,NA
"RT laculturaensc: https://t.co/YCKxM5OGus #Tenerife #SantaCruzdeTenerife #Informatico",FALSE,0,NA,"2018-06-12 11:16:23",FALSE,NA,"1006495422913957888",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","InformaticoSct",0,FALSE,FALSE,NA,NA
"@AdrianPSB1 @NereidaRamRam @EmocionesCan @paisajecanario @VisitTenerifeES @Tenerife_Ocio @LoqueVeoTfe… https://t.co/jv8O3oy6Xt",FALSE,1,"AdrianPSB1","2018-06-12 11:14:58",TRUE,"1005848309347635200","1006495067903877120","1003947134662664192","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quegranviaje",0,FALSE,FALSE,NA,NA
"Alfonso Serrano confirma que Angel Galvan pasará a ser portero profesional del club deportivo Tenerife",FALSE,0,NA,"2018-06-12 11:14:30",FALSE,NA,"1006494948169015296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ru28992",0,FALSE,FALSE,NA,NA
"Yeray Durán analiza su nuevo triunfo en la Cajamar Tenerife Bluetrail. @TenerifeBlueTra 
https://t.co/oS7Mcmf1TU",FALSE,1,NA,"2018-06-12 11:14:09",FALSE,NA,"1006494863515439104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","canarias7",0,FALSE,FALSE,NA,NA
"@susanamachinro @Carlosenderos @VisitTenerifeES @LoqueVeoTfe @TenerifeBonjour @TenerifeExplore @TeneriFeliz… https://t.co/rJqSrFaq3m",FALSE,0,"susanamachinro","2018-06-12 11:12:27",TRUE,"1006412390978801664","1006494435847430144","2999580773","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Natalia41474122",0,FALSE,FALSE,NA,NA
"RT @Carlosenderos: No me dirán, que no es bonito...<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Sendero que te atrapa con su atractivo!!
#Tenerifelicidad #senderismo #Canarias
@Visit…",FALSE,0,NA,"2018-06-12 11:12:01",FALSE,NA,"1006494326040473600",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Tenerife_Ocio",9,TRUE,FALSE,NA,NA
"RT @UDGTenerife: [FICHAJE] @nataliaramos10a , vuelve a la UDG Tenerife Egatesa. 

• La polivalente futbolista se compromete para las dos pr…",FALSE,0,NA,"2018-06-12 11:11:48",FALSE,NA,"1006494272395280384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jooonay",44,TRUE,FALSE,NA,NA
