"","score","text"
"1",0,"300.000 € para cubrir una cancha del CEIP Adamancasis de El Paso en el curso 2018/2019 @EducacionCan @AytoElPaso… https://t.co/7zPEsLqmLz"
"2",-1,"La opción bloqueo es maravillosa, pero deja de serlo cuando la usas para callar verdades! Vaya vaya con los señores… https://t.co/PDnJ9SrnXD"
"3",-1,"RT @fran_noda: Hasta la polla de esta isla"
"4",0,"El XXVI Festival de Gimnasia Isla de Lanzarote ‘Lolina Curbelo’ continuará celebrándose desde mañana miércoles hast… https://t.co/EuDUmvhlpR"
"5",0,".@EducacionCan subvenciona 4 trayectos a los estudiantes que deben salir de su isla https://t.co/W9w79Ak7Xo"
"6",0,"El XXVI Festival de Gimnasia Isla de Lanzarote ‘Lolina Curbelo’ continuará celebrándose desde mañana miércoles hast… https://t.co/VsyYToNvOE"
"7",0,"El XXVI Festival de Gimnasia Isla de Lanzarote ‘Lolina Curbelo’ continuará celebrándose desde mañana miércoles hast… https://t.co/7HGrn7FQUZ"
"8",0,"Misma isla, diferente clima. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/fG1qJSQtaK"
"9",-1,"RT @costascanarias: Playa de las carpinteras https://t.co/ecm8qqvrBy"
"10",0,"RT @oliverguisado: I Maratón del Emprendedor Isla de La Palma...¿y quién no podía faltar? Si estás en esa isla tan increíble los días 14 y…"
"11",-1,"RT @fr_diaz: Cuando alguien cree en ti funciona,en esta  isla también hay gente preparada ,solo hay que dar la oportunidades,gente válida h…"
"12",-1,"I Maratón del Emprendedor de la isla de #LaPalma #Canarias
14 y 15 de Junio 2018 https://t.co/QzUTKfJ2DY… https://t.co/stbvdmMn7O"
"13",-1,"RT @CDTOficial: <ed><U+00A0><U+00BC><ed><U+00BE><U+0099>Alfonso Serrano: ""Hemos decidido traer otro perfil de delantero. Agradecemos a Casadesús el trabajo que hizo en la Isla.…"
"14",-1,"(AVANCE) Lanzarote es Reserva de la Biosfera, pero ¿son conscientes algunos vecinos de la isla conejera de qué conl… https://t.co/jOuHgIGOzi"
"15",0,"Tu pequeño gesto es un gran ejemplo, #reciclaje x tu isla. https://t.co/yoMSfo9mlK"
"16",-3,"@PPCabLaPalma @CabLaPalma Dudas <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>. Yo apostaría por #Pachorra y perdida de inversión en la isla. https://t.co/RsoPPR2pVq"
"17",-1,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00BB> San Andrés, la perla del Caribe colombiano https://t.co/tloStORL2w"
"18",1,"I Maratón del Emprendedor Isla de La Palma...¿y quién no podía faltar? Si estás en esa isla tan increíble los días… https://t.co/729mwgorym"
