"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"300.000 € para cubrir una cancha del CEIP Adamancasis de El Paso en el curso 2018/2019 @EducacionCan @AytoElPaso… https://t.co/7zPEsLqmLz",FALSE,0,NA,"2018-06-12 11:24:42",TRUE,NA,"1006497518555942912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElTimeLaPalma",0,FALSE,FALSE,NA,NA
"La opción bloqueo es maravillosa, pero deja de serlo cuando la usas para callar verdades! Vaya vaya con los señores… https://t.co/PDnJ9SrnXD",FALSE,0,"rarr19","2018-06-12 11:23:30",TRUE,"1006496649353588736","1006497214913482752","116803421","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rarr19",0,FALSE,FALSE,NA,NA
"RT @fran_noda: Hasta la polla de esta isla",FALSE,0,NA,"2018-06-12 11:23:22",FALSE,NA,"1006497180411158528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarenSalvadoor",8,TRUE,FALSE,NA,NA
"El XXVI Festival de Gimnasia Isla de Lanzarote ‘Lolina Curbelo’ continuará celebrándose desde mañana miércoles hast… https://t.co/EuDUmvhlpR",FALSE,0,NA,"2018-06-12 11:22:45",TRUE,NA,"1006497025020448768",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","DigitalLanz",0,FALSE,FALSE,NA,NA
".@EducacionCan subvenciona 4 trayectos a los estudiantes que deben salir de su isla https://t.co/W9w79Ak7Xo",FALSE,0,NA,"2018-06-12 11:19:50",FALSE,NA,"1006496290233085952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElTimeLaPalma",0,FALSE,FALSE,NA,NA
"El XXVI Festival de Gimnasia Isla de Lanzarote ‘Lolina Curbelo’ continuará celebrándose desde mañana miércoles hast… https://t.co/VsyYToNvOE",FALSE,1,NA,"2018-06-12 11:16:01",TRUE,NA,"1006495332568625152",NA,"<a href=""http://www.isladelanzarote.com"" rel=""nofollow"">Post isla</a>","digitalisla",0,FALSE,FALSE,NA,NA
"El XXVI Festival de Gimnasia Isla de Lanzarote ‘Lolina Curbelo’ continuará celebrándose desde mañana miércoles hast… https://t.co/7HGrn7FQUZ",FALSE,0,NA,"2018-06-12 11:13:39",TRUE,NA,"1006494736369291264",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LanzarotDeporte",0,FALSE,FALSE,NA,NA
"Misma isla, diferente clima. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/fG1qJSQtaK",FALSE,6,NA,"2018-06-12 11:10:24",FALSE,NA,"1006493919369195520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ale9jimenez",0,FALSE,FALSE,NA,NA
"RT @costascanarias: Playa de las carpinteras https://t.co/ecm8qqvrBy",FALSE,0,NA,"2018-06-12 11:09:54",FALSE,NA,"1006493791824613376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yokanarion",1,TRUE,FALSE,NA,NA
"RT @oliverguisado: I Maratón del Emprendedor Isla de La Palma...¿y quién no podía faltar? Si estás en esa isla tan increíble los días 14 y…",FALSE,0,NA,"2018-06-12 11:06:17",FALSE,NA,"1006492882277199872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Innovalia_group",2,TRUE,FALSE,NA,NA
