"","score","text"
"1",-1,"Noticias del mundo: Kendra Scott, la mujer que convirtió US$500 en una empresa de US$1.000 millones… https://t.co/UJdvkqvdSA"
"2",-1,"Noticias del mundo: Kendra Scott, la mujer que convirtió US$500 en una empresa de US$1.000 millones… https://t.co/aNAxsiUuCH"
"3",-1,"RT @NadiaTenerife: YVETTE HORNER et BOY GEORGES https://t.co/3hGMcd4M4Q vía @YouTube “Summertime” Admiramos a esa mujer. Sacó al acordeón d…"
"4",0,"RT @PPLPGC: Hemos recordado a la víctima de violencia de género asesinada  el viernes en el barrio de La Matula, en Las Palmas de Gran Cana…"
"5",0,"YVETTE HORNER et BOY GEORGES https://t.co/3hGMcd4M4Q vía @YouTube “Summertime” Admiramos a esa mujer. Sacó al acord… https://t.co/0hZAIUQdY3"
"6",-3,"RT @ElLocolaventana: Mi mujer se ha ido con mis hijas, a pasar el fin de semana con su madre, y me pienso pegar todo el fin de semana levan…"
"7",1,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00BB> Henrietta Lacks, la mujer cuyas células condujeron a una revolución médica https://t.co/V6ZYut5574"
"8",-2,"RT @CanalULL: Elena Pastor, recientemente premiada por su trayectoria investigadora en la Universidad de La Laguna, nos habla del enfoque d…"
"9",-2,"@elprogramadear Está Pilar urbano, es una impresentable. Otra como Peñafiel, hablando bajo el rencor y la malicia.… https://t.co/sSiVjFgBNy"
"10",-2,"@_Kbits_ @thimber Yo no veo mal el echo de que se pueda escoger mujer, sino que justo es de los peores momentos de… https://t.co/PMA2g4SmSQ"
"11",-1,"RT @esjavieraleman: Un hombre diciéndole a una mujer que regule lo de comprar niños. El mejor partido político de España https://t.co/FB68V…"
"12",-1,"«El muchacho miró a la mujer que prácticamente… https://t.co/znCFkza1uD"
"13",-1,"RT @Aikman69: @Berta_InTheSky @angel411978 @Raul413600191 @elmundoes Noo, tranquila que yo estoy en otro sitio, lo digo para que no me bloq…"
"14",-3,"les invito a todos a ver esta entrevista https://t.co/dLxA5oQii3 porque les juro que mi alma está llorando de lo in… https://t.co/Bx99uGSeqG"
"15",-1,"@Berta_InTheSky @angel411978 @Raul413600191 @elmundoes Noo, tranquila que yo estoy en otro sitio, lo digo para que no me bloquees mujer."
"16",0,"RT @chiki_ponchi: @salvameoficial esta trepa cazafamosos no tiene categoría para estar con carlos lozano ,asi que carlos pasa de ella y bús…"
"17",-2,"y mae mia la de orangutanes quejándose de una mujer prota y lesbiana... preocupante xd"
"18",-2,"RT @babonplus: 600 vinilos listos para #NONA, un centro maternal orientado a cubrir y satisfacer las necesidades de la mujer ANTES, DURANTE…"
"19",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BA> @Albert_Rivera sobre la gestación subrogada:
  ""Igualdad es que las mujeres tengan la libertad de decidir si quieren ayud…"
"20",-2,"Que esta mujer se metía anfetas????"
"21",-1,"El problema no es Tom Raider, el problema son unas lesbianas en The Last of Us 2, una mujer en Assassin's Creeds Od… https://t.co/o02MhVp2WP"
"22",-3,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8> La mujer más tatuada de Europa se ha cansado de verse así https://t.co/zFzgL9ttyn"
"23",1,"@odisea20100 @MozasLourdes @Santi_ABASCAL Mi madre, cuántos argumentos. Me has dejado desarmada. Con eso sí que me… https://t.co/y2q2nq7KdI"
"24",-2,"@juanrallo Punto 1: no toda mujer tiene libertad para elegir si se presta a esto o no. En caso de pobreza extrema o… https://t.co/xuLKPeSKaA"
"25",-1,"@Mggdip @Jennicett @xxTXAMANxx <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>exactamente, muy bien dicho la defensa de los derechos de la mujer ha de empezar re… https://t.co/ICswycy0Os"
"26",-2,"RT @LordDraztor: @DidsRainfall Se ve que les es más fácil meterse en papeles donde el protagonista vuele, lance rayos, destruya universos..…"
"27",-1,"Mujer y negra busca incansable: Ken Bugul https://t.co/A1Nr357Upn via @LitERaFRicAs"
"28",-3,"RT @DonDieGatto: - El chévere que le da la mano a la esposa para bajar de la limosina restableció relaciones con Cuba a cambio de NADA. Res…"
"29",-6,"No sé cómo va la cosa pq tengo poco tiempo para informarme pero espero que ganen la batalla. Ningún hombre, ninguna… https://t.co/dF02j79bi0"
"30",-2,"@DidsRainfall Se ve que les es más fácil meterse en papeles donde el protagonista vuele, lance rayos, destruya univ… https://t.co/9wmyKY1wxo"
"31",-3,"RT @Tomi12041971: @erikvina88 @vestasesp Ataques a iglesias sin contemplaciones....el cristiano agacha la cabeza y reza por ellos...critica…"
"32",-1,"""Que una mujer se ha sentado en mi hombro, me… https://t.co/1VEu3MAAla"
