"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Noticias del mundo: Kendra Scott, la mujer que convirtió US$500 en una empresa de US$1.000 millones… https://t.co/UJdvkqvdSA",FALSE,0,NA,"2018-06-12 11:21:00",TRUE,NA,"1006496586099146752",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","morosjf",0,FALSE,FALSE,NA,NA
"Noticias del mundo: Kendra Scott, la mujer que convirtió US$500 en una empresa de US$1.000 millones… https://t.co/aNAxsiUuCH",FALSE,0,NA,"2018-06-12 11:20:54",TRUE,NA,"1006496561549807616",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","morosjf",0,FALSE,FALSE,NA,NA
"RT @NadiaTenerife: YVETTE HORNER et BOY GEORGES https://t.co/3hGMcd4M4Q vía @YouTube “Summertime” Admiramos a esa mujer. Sacó al acordeón d…",FALSE,0,NA,"2018-06-12 11:11:08",FALSE,NA,"1006494101120962560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SilviaMiralles",1,TRUE,FALSE,NA,NA
"RT @PPLPGC: Hemos recordado a la víctima de violencia de género asesinada  el viernes en el barrio de La Matula, en Las Palmas de Gran Cana…",FALSE,0,NA,"2018-06-12 11:10:35",FALSE,NA,"1006493964004978688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PabloEspinosaPP",10,TRUE,FALSE,NA,NA
"YVETTE HORNER et BOY GEORGES https://t.co/3hGMcd4M4Q vía @YouTube “Summertime” Admiramos a esa mujer. Sacó al acord… https://t.co/0hZAIUQdY3",FALSE,1,NA,"2018-06-12 11:06:59",TRUE,NA,"1006493059109085184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NadiaTenerife",1,FALSE,FALSE,NA,NA
"RT @ElLocolaventana: Mi mujer se ha ido con mis hijas, a pasar el fin de semana con su madre, y me pienso pegar todo el fin de semana levan…",FALSE,0,NA,"2018-06-12 11:03:48",FALSE,NA,"1006492255522316288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tititfe",160,TRUE,FALSE,NA,NA
"<ed><U+00A0><U+00BD><ed><U+00B4><U+00BB> Henrietta Lacks, la mujer cuyas células condujeron a una revolución médica https://t.co/V6ZYut5574",FALSE,0,NA,"2018-06-12 11:02:04",FALSE,NA,"1006491818966573056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ErikaBacque",0,FALSE,FALSE,NA,NA
"RT @CanalULL: Elena Pastor, recientemente premiada por su trayectoria investigadora en la Universidad de La Laguna, nos habla del enfoque d…",FALSE,0,NA,"2018-06-12 10:42:16",FALSE,NA,"1006486836125020160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisCedres",17,TRUE,FALSE,NA,NA
"@elprogramadear Está Pilar urbano, es una impresentable. Otra como Peñafiel, hablando bajo el rencor y la malicia.… https://t.co/sSiVjFgBNy",FALSE,0,"elprogramadear","2018-06-12 10:39:54",TRUE,"1006483752757932032","1006486240965943296","252607098","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Piar47881710",0,FALSE,FALSE,NA,NA
"@_Kbits_ @thimber Yo no veo mal el echo de que se pueda escoger mujer, sino que justo es de los peores momentos de… https://t.co/PMA2g4SmSQ",FALSE,0,"_Kbits_","2018-06-12 10:39:50",TRUE,"1006453596379058176","1006486223895105536","234032109","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","javigracia",0,FALSE,FALSE,NA,NA
"RT @esjavieraleman: Un hombre diciéndole a una mujer que regule lo de comprar niños. El mejor partido político de España https://t.co/FB68V…",FALSE,0,NA,"2018-06-12 10:36:34",FALSE,NA,"1006485402885214208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alejandro_DebH",128,TRUE,FALSE,NA,NA
"«El muchacho miró a la mujer que prácticamente… https://t.co/znCFkza1uD",FALSE,0,NA,"2018-06-12 10:26:30",FALSE,NA,"1006482871752822784",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","OlivierEscritor",0,FALSE,FALSE,NA,NA
"RT @Aikman69: @Berta_InTheSky @angel411978 @Raul413600191 @elmundoes Noo, tranquila que yo estoy en otro sitio, lo digo para que no me bloq…",FALSE,0,NA,"2018-06-12 10:17:57",FALSE,NA,"1006480720150388736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angel411978",1,TRUE,FALSE,NA,NA
"les invito a todos a ver esta entrevista https://t.co/dLxA5oQii3 porque les juro que mi alma está llorando de lo in… https://t.co/Bx99uGSeqG",FALSE,1,NA,"2018-06-12 10:06:37",TRUE,NA,"1006477865347633152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laulucioni",0,FALSE,FALSE,NA,NA
"@Berta_InTheSky @angel411978 @Raul413600191 @elmundoes Noo, tranquila que yo estoy en otro sitio, lo digo para que no me bloquees mujer.",FALSE,1,"Berta_InTheSky","2018-06-12 09:58:13",FALSE,"1006474809834909696","1006475752647294976","193742000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aikman69",1,FALSE,FALSE,NA,NA
"RT @chiki_ponchi: @salvameoficial esta trepa cazafamosos no tiene categoría para estar con carlos lozano ,asi que carlos pasa de ella y bús…",FALSE,0,NA,"2018-06-12 09:54:47",FALSE,NA,"1006474887861555200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pakimorenoher",1,TRUE,FALSE,NA,NA
"y mae mia la de orangutanes quejándose de una mujer prota y lesbiana... preocupante xd",FALSE,0,NA,"2018-06-12 09:52:21",FALSE,NA,"1006474275799339008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NAOSftv",0,FALSE,FALSE,NA,NA
"RT @babonplus: 600 vinilos listos para #NONA, un centro maternal orientado a cubrir y satisfacer las necesidades de la mujer ANTES, DURANTE…",FALSE,0,NA,"2018-06-12 09:49:17",FALSE,NA,"1006473504898846720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mnlbaron",1,TRUE,FALSE,NA,NA
"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BA> @Albert_Rivera sobre la gestación subrogada:
  ""Igualdad es que las mujeres tengan la libertad de decidir si quieren ayud…",FALSE,0,NA,"2018-06-12 09:42:55",FALSE,NA,"1006471901462614016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CsScTfe",14,TRUE,FALSE,NA,NA
"Que esta mujer se metía anfetas????",FALSE,0,NA,"2018-06-12 09:41:41",FALSE,NA,"1006471589859295232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cul0mardo",0,FALSE,FALSE,NA,NA
"El problema no es Tom Raider, el problema son unas lesbianas en The Last of Us 2, una mujer en Assassin's Creeds Od… https://t.co/o02MhVp2WP",FALSE,0,NA,"2018-06-12 09:38:03",TRUE,NA,"1006470676285480960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samuel13c",0,FALSE,FALSE,NA,NA
"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8> La mujer más tatuada de Europa se ha cansado de verse así https://t.co/zFzgL9ttyn",FALSE,0,NA,"2018-06-12 09:34:13",FALSE,NA,"1006469713172549632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ErikaBacque",0,FALSE,FALSE,NA,NA
"@odisea20100 @MozasLourdes @Santi_ABASCAL Mi madre, cuántos argumentos. Me has dejado desarmada. Con eso sí que me… https://t.co/y2q2nq7KdI",FALSE,0,"odisea20100","2018-06-12 09:28:43",TRUE,"1006464686789885952","1006468328456642560","403508520","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarinaMonteroT",0,FALSE,FALSE,NA,NA
"@juanrallo Punto 1: no toda mujer tiene libertad para elegir si se presta a esto o no. En caso de pobreza extrema o… https://t.co/xuLKPeSKaA",FALSE,0,"juanrallo","2018-06-12 09:25:14",TRUE,"1006463938891042816","1006467450064515072","112796335","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Diego28256457",0,FALSE,FALSE,NA,NA
"@Mggdip @Jennicett @xxTXAMANxx <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>exactamente, muy bien dicho la defensa de los derechos de la mujer ha de empezar re… https://t.co/ICswycy0Os",FALSE,1,"Mggdip","2018-06-12 09:23:02",TRUE,"1006247866959126528","1006466897586589696","2504147984","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abatrusqui78",0,FALSE,FALSE,NA,NA
"RT @LordDraztor: @DidsRainfall Se ve que les es más fácil meterse en papeles donde el protagonista vuele, lance rayos, destruya universos..…",FALSE,0,NA,"2018-06-12 09:20:30",FALSE,NA,"1006466260987711488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DidsRainfall",1,TRUE,FALSE,NA,NA
"Mujer y negra busca incansable: Ken Bugul https://t.co/A1Nr357Upn via @LitERaFRicAs",FALSE,0,NA,"2018-06-12 09:20:04",FALSE,NA,"1006466149909966848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Angeles_Jurado",0,FALSE,FALSE,NA,NA
"RT @DonDieGatto: - El chévere que le da la mano a la esposa para bajar de la limosina restableció relaciones con Cuba a cambio de NADA. Res…",FALSE,0,NA,"2018-06-12 09:19:59",FALSE,NA,"1006466132977618944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EbecMelec1",0,TRUE,FALSE,NA,NA
"No sé cómo va la cosa pq tengo poco tiempo para informarme pero espero que ganen la batalla. Ningún hombre, ninguna… https://t.co/dF02j79bi0",FALSE,0,NA,"2018-06-12 09:18:18",TRUE,NA,"1006465709357092864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Acelopzz",0,FALSE,FALSE,NA,NA
"@DidsRainfall Se ve que les es más fácil meterse en papeles donde el protagonista vuele, lance rayos, destruya univ… https://t.co/9wmyKY1wxo",FALSE,3,"DidsRainfall","2018-06-12 09:16:24",TRUE,"1006453246918057984","1006465229516099584","237254969","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LordDraztor",1,FALSE,FALSE,NA,NA
"RT @Tomi12041971: @erikvina88 @vestasesp Ataques a iglesias sin contemplaciones....el cristiano agacha la cabeza y reza por ellos...critica…",FALSE,0,NA,"2018-06-12 09:11:05",FALSE,NA,"1006463891193368576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erikvina88",1,TRUE,FALSE,NA,NA
"""Que una mujer se ha sentado en mi hombro, me… https://t.co/1VEu3MAAla",FALSE,1,NA,"2018-06-12 09:09:38",FALSE,NA,"1006463525194264576",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SemillaPoetica",0,FALSE,FALSE,NA,NA
"Acabo de salir de una entrevista que si me pillan seré la mujer más feliz del espacio mundo. Por favor, llevo desde… https://t.co/jAfWsVJ8gP",FALSE,6,NA,"2018-06-12 09:09:28",TRUE,NA,"1006463484031365120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DashielTV",0,FALSE,FALSE,NA,NA
"@erikvina88 @vestasesp Ataques a iglesias sin contemplaciones....el cristiano agacha la cabeza y reza por ellos...c… https://t.co/Inb98nZeG3",FALSE,1,"erikvina88","2018-06-12 09:08:59",TRUE,"1006235303487688704","1006463363910684672","996852670920118272","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Tomi12041971",1,FALSE,FALSE,NA,NA
"RT @LU14AM830: #13Junio Conversamos con la Secretaria de Mujer y Géneros FUBA quien se refirió a la postura de los estudiantes sobre la apr…",FALSE,0,NA,"2018-06-12 08:57:54",FALSE,NA,"1006460573834506240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MonaQueda1",2,TRUE,FALSE,NA,NA
"Ayuntamiento de Santa Cruz y Subdelegación expresan su condena por la última mujer asesinada https://t.co/vDY9pc9Vqi",FALSE,0,NA,"2018-06-12 08:36:36",FALSE,NA,"1006455211500728320",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","pepecastellano",0,FALSE,FALSE,NA,NA
"RT @FTVCOPS: Un agente de la Policía Portuaria aborta un intento de agresión sexual de siete hombres a una mujer https://t.co/gYMChplTYt",FALSE,0,NA,"2018-06-12 08:34:59",FALSE,NA,"1006454805685047296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","portuariosCCOO",5,TRUE,FALSE,NA,NA
"La mujer keniana apuesta por su belleza natural https://t.co/fj7eXq1CXw via @Planeta_Futuro",FALSE,0,NA,"2018-06-12 08:30:25",FALSE,NA,"1006453656995205120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Angeles_Jurado",0,FALSE,FALSE,NA,NA
"<ed><U+00A0><U+00BD><ed><U+00B4><U+00BB> La precaria situación educacional de la mujer en Latinoamérica #Sociedad https://t.co/6PPTmtAx4W",FALSE,0,NA,"2018-06-12 08:29:39",FALSE,NA,"1006453465521049600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ErikaBacque",0,FALSE,FALSE,NA,NA
