"","score","text"
"1",0,"José Ángel Martín (#PSOE #SantaCruz): ""La capital está sin proyectos y sin futuro. Sometida a la improvisación. No… https://t.co/noTolHbUla"
"2",-2,"Porque si al @PSOE le importasen los y las migrantes cerraría ya los CIEs,reformaría las leyes de Extranjería y de… https://t.co/ucmUmTTrbj"
"3",-1,"@delilop57 @jpurias El PSOE tiene mucho que hacer para parecer creíbles.. no basta con serlo.. también hay que parecerlo"
"4",-1,"@delilop57 @jpurias En este momento a PSOE le viene bien este marketing.. bien por la personas que están el el barc… https://t.co/BQBObUzY36"
"5",0,"@Nachoanon @sanchezcastejon @PSOE @DRZRZ @diego952672768 @DorCabrejas @antgalan @PugaGmail @pgpnzalo1 @KarenNax… https://t.co/Kt1wofNW0L"
"6",-2,"RT @GPSocialista: .@loli_mcorujo ""Queremos saber si el Gobierno Clavijo prevé aprovechar para Canarias el talante del nuevo Gobierno del @P…"
"7",-3,"RT @AnaZurita7: Echaremos de menos a @idlserna sin duda MINISTRO con mayúsculas, ha demostrado siempre sensibilidad con Canarias. 
Ahora a…"
"8",-6,"RT @cardiofuture: La 'altavoz' del gobierno del @PSOE (Políticos del Sindicato del Opio y la Extorsión) modificó la 'tablita ética' de expu…"
"9",-3,"RT @camejo5112: #Aquarius El Ministro del Interior italiano se descojona de España...
(@sanchezcastejon #PSOE, ¡háztelo mirar! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>) https://t…"
"10",-1,".@loli_mcorujo ""Queremos saber si el Gobierno Clavijo prevé aprovechar para Canarias el talante del nuevo Gobierno… https://t.co/PBMVwC22iC"
"11",-4,"@JosepBorrellF Estaré atento...me congratulo de ser ""fanático y un mea pilas"" por alegrarme y seguirte...Soy ex-afi… https://t.co/Q8bUhYZf9V"
"12",-1,"RT @mapdelpino: ¿Qué está ocurriendo para q países como Italia y Malta, países de la UE, actúen así?

Afortunadamente, nuestro Gobierno @PS…"
"13",0,"@AnaZurita7 @jcarlosacha @idlserna @PSOE @GPPopular @PPCabildoTF @ppdecanarias @mdomingueztfe @pptenerife… https://t.co/NeN7Nyl1FN"
"14",-5,"Este jueves, a las 19:00h, celebramos un nuevo Jueves Socialista en el que se hablará sobre el nuevo gobierno de Pe… https://t.co/393ApeqESK"
