"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"José Ángel Martín (#PSOE #SantaCruz): ""La capital está sin proyectos y sin futuro. Sometida a la improvisación. No… https://t.co/noTolHbUla",FALSE,0,NA,"2018-06-12 11:24:17",TRUE,NA,"1006497413790609408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ondacero_can",0,FALSE,FALSE,NA,NA
"Porque si al @PSOE le importasen los y las migrantes cerraría ya los CIEs,reformaría las leyes de Extranjería y de… https://t.co/ucmUmTTrbj",FALSE,0,"Mig31MN","2018-06-12 11:15:54",TRUE,"1006494097530589184","1006495301270728704","426574971","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mig31MN",0,FALSE,FALSE,NA,NA
"@delilop57 @jpurias El PSOE tiene mucho que hacer para parecer creíbles.. no basta con serlo.. también hay que parecerlo",FALSE,1,"delilop57","2018-06-12 11:14:53",FALSE,"1006490659547762688","1006495045787312128","304523272","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonzonSuarez",0,FALSE,FALSE,NA,NA
"@delilop57 @jpurias En este momento a PSOE le viene bien este marketing.. bien por la personas que están el el barc… https://t.co/BQBObUzY36",FALSE,1,"delilop57","2018-06-12 11:13:17",TRUE,"1006490659547762688","1006494641917710336","304523272","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonzonSuarez",0,FALSE,FALSE,NA,NA
"@Nachoanon @sanchezcastejon @PSOE @DRZRZ @diego952672768 @DorCabrejas @antgalan @PugaGmail @pgpnzalo1 @KarenNax… https://t.co/Kt1wofNW0L",FALSE,0,"Nachoanon","2018-06-12 11:12:21",TRUE,"1006363279982321664","1006494407686852608","2809058993","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnimalistaTauro",0,FALSE,FALSE,NA,NA
"RT @GPSocialista: .@loli_mcorujo ""Queremos saber si el Gobierno Clavijo prevé aprovechar para Canarias el talante del nuevo Gobierno del @P…",FALSE,0,NA,"2018-06-12 11:09:47",FALSE,NA,"1006493764955893760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PSOECanarias",1,TRUE,FALSE,NA,NA
"RT @AnaZurita7: Echaremos de menos a @idlserna sin duda MINISTRO con mayúsculas, ha demostrado siempre sensibilidad con Canarias. 
Ahora a…",FALSE,0,NA,"2018-06-12 11:03:29",FALSE,NA,"1006492176442851328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SebastianLede15",15,TRUE,FALSE,NA,NA
"RT @cardiofuture: La 'altavoz' del gobierno del @PSOE (Políticos del Sindicato del Opio y la Extorsión) modificó la 'tablita ética' de expu…",FALSE,0,NA,"2018-06-12 11:00:31",FALSE,NA,"1006491428950806528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","HugoCor94275268",5,TRUE,FALSE,NA,NA
"RT @camejo5112: #Aquarius El Ministro del Interior italiano se descojona de España...
(@sanchezcastejon #PSOE, ¡háztelo mirar! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>) https://t…",FALSE,0,NA,"2018-06-12 10:59:48",FALSE,NA,"1006491248679583744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseRuizParrad1",81,TRUE,FALSE,NA,NA
".@loli_mcorujo ""Queremos saber si el Gobierno Clavijo prevé aprovechar para Canarias el talante del nuevo Gobierno… https://t.co/PBMVwC22iC",FALSE,1,NA,"2018-06-12 10:58:40",TRUE,NA,"1006490965631229952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GPSocialista",1,FALSE,FALSE,NA,NA
